campaign_id,optimizer,flight_number,flight_id,score,gates_passed,aborted,finished,gate_clips,env_hits,abort_reason,param_hash
camp-20260714T083434,RandomSearch,17,20260714T083622-ab29c41b,-220.384400,0,1,0,0,1,environment collision (impulse=2.7),ab29c41b5e13ae07db4973d781c4193b93ac8aac0370e9d95d550e386dd48d51
camp-20260714T083434,RandomSearch,18,20260714T083628-7e1fe2b2,-220.389100,0,1,0,0,1,environment collision (impulse=2.5),7e1fe2b20dbb2275eede862a53e44586d0ae45f215d358fe6fb7203d3f4a129f
camp-20260714T083434,RandomSearch,19,20260714T083635-313ba683,-220.385900,0,1,0,0,1,environment collision (impulse=2.7),313ba683e5332fad27acb0f7e67b2e3d56843cbffbeb8dcaf9ebcfa38ccac63f
camp-20260714T083434,RandomSearch,20,20260714T083641-76b17d71,-220.375000,0,1,0,0,1,environment collision (impulse=2.9),76b17d7174ae163738ccdbe98180a001d3d6bbc7f4efe99e8934c13fedd75b25
camp-20260714T083434,RandomSearch,21,20260714T083648-72ac9058,-220.396900,0,1,0,0,1,environment collision (impulse=2.0),72ac9058480943d7ac854853edb1c170e5ae4a5aada4159dbd905d92064efc3f
camp-20260714T083434,RandomSearch,22,20260714T083654-b547ad63,-220.398500,0,1,0,0,1,environment collision (impulse=1.9),b547ad63a6b29d4c842b6c6e89527c35f84b25188c7da047343d439922bce81c
camp-20260714T083434,RandomSearch,23,20260714T083701-486c7f6b,-220.386000,0,1,0,0,1,environment collision (impulse=3.3),486c7f6bf764d22d02ac045d082e9b737fc17cff9508cf2e232c16dd6aa0be69
camp-20260714T083434,RandomSearch,24,20260714T083708-ad2b41fb,-220.403100,0,1,0,0,1,environment collision (impulse=2.2),ad2b41fb8fa4c5cc7ee3a4e563eedb128d4ec4baf9796c241c9d9b429c3a604d
camp-20260714T083434,RandomSearch,25,20260714T083714-f295d731,-220.389100,0,1,0,0,1,environment collision (impulse=2.5),f295d731358834056a18c286f73aea17a2bef25fc778dfe1126863c995759b2f
camp-20260714T083434,RandomSearch,26,20260714T083721-88f098bc,-220.396800,0,1,0,0,1,environment collision (impulse=1.9),88f098bc21210793c05dbb34689910dae8a54c84ff020702b204e763ad52c061
camp-20260714T083434,RandomSearch,27,20260714T083728-224c6c4f,-220.389100,0,1,0,0,1,environment collision (impulse=2.6),224c6c4fec31a55c798ffccd7cc0ac8c7ac3a8a31ca2b2ea7a46cdfbb4a1a896
camp-20260714T083434,RandomSearch,28,20260714T083734-f425326a,-220.389100,0,1,0,0,1,environment collision (impulse=3.1),f425326ab6d024943db2f68ff0a5b7aecb8c3a6c6c79ec3428545ee91d34ce7c
camp-20260714T083434,RandomSearch,29,20260714T083741-41d99c78,-220.382800,0,1,0,0,1,environment collision (impulse=3.9),41d99c788f4b5fdc83a2f00e2bc76a43ee05c55bce82d9087623b498b6d8e6c8
camp-20260714T083434,RandomSearch,30,20260714T083747-0e45b784,-220.390700,0,1,0,0,1,environment collision (impulse=4.8),0e45b784ab5af2c6e5e12f21c4d66614b43443d9f8b64f9bae4ed0d72885b7cd
camp-20260714T083434,RandomSearch,31,20260714T083754-1fe2eb0b,-220.387500,0,1,0,0,1,environment collision (impulse=4.5),1fe2eb0b8659719bf63cb50ac8568bec41681d3b6cd5d96e6d2a5724bac7a2a3
camp-20260714T083434,RandomSearch,32,20260714T083800-81eecfef,-220.392200,0,1,0,0,1,environment collision (impulse=6.1),81eecfef304df1a6cc80c13a49262fb62ebd445218af6e4c3e9ddf242baa27c4
camp-20260714T083434,RandomSearch,33,20260714T083807-9d43f88f,-220.379700,0,1,0,0,1,environment collision (impulse=3.2),9d43f88f6b1d84b000f8bf5c8242d44276b939875fdcaf8a85088192d956c52b
camp-20260714T083434,RandomSearch,34,20260714T083813-f70d7288,-220.376500,0,1,0,0,1,environment collision (impulse=2.9),f70d7288fc5f9f4be70286a78663f84938e6875c67876e599d73077d101f4578
camp-20260714T083434,RandomSearch,35,20260714T083820-bddeb09c,-220.392200,0,1,0,0,1,environment collision (impulse=2.1),bddeb09ca852c119ecb90ed8b97e23ff179fbfbb38b894e4600fadceb371ca6d
camp-20260714T083434,RandomSearch,36,20260714T083826-d0b6ced8,-220.373400,0,1,0,0,1,environment collision (impulse=2.8),d0b6ced82ba657adc497bec5ca0e1ffc9529d39200fc7ad02cf04a35536a8386
camp-20260714T083434,RandomSearch,37,20260714T083833-8c82cc43,-220.390600,0,1,0,0,1,environment collision (impulse=2.5),8c82cc4365bb65dff40921f2f9c703a920538b36db6c541f5dd7d877a3383904
camp-20260714T083434,RandomSearch,38,20260714T083839-76de2f1e,-220.384400,0,1,0,0,1,environment collision (impulse=2.8),76de2f1e60884a9d642a132fdfc6c11887332f7f74a680e5c7b540c8fa7c3d24
camp-20260714T083434,RandomSearch,39,20260714T083846-76a9e35f,-220.395300,0,1,0,0,1,environment collision (impulse=2.7),76a9e35f4369d7a2aa2cd81112d45649454ed3c58d898d64fe341c7605873fd1
camp-20260714T083434,RandomSearch,40,20260714T083853-fcab026f,-220.400000,0,1,0,0,1,environment collision (impulse=2.2),fcab026f16c8f03a495c62d013d1c15c07b33dcac8366979957da403ed4e4629
