t_ff,t_rel,phase,e_meas,ready,n_hist,span_s,gap_s,vz_vis,rate_auth,certified_det,feat_cert,feat_age,R,tz,admit_ok,e_cross,would_capture,owner,vz_cmd_if_term
2.4521656,6.783934,commit,-0.45,True,28,0.9302258491516113,0.06945204734802246,-0.0,1.0,True,certified,0.01099199999999989,3.911184946498506,3.6525153332444495,False,-0.45,False,alt,-0.24640553642811122
2.4722939,6.8040623,commit,-0.45,True,28,0.9302258491516113,0.06945204734802246,-0.0,1.0,True,certified,0.03112029999999999,3.8824972149074273,3.6150628558394065,False,-0.45,False,alt,-0.2489583268368989
2.4922498,6.8240182,commit,-0.45,True,29,0.9651811122894287,0.06945204734802246,-0.0,1.0,True,certified,0.01461010000000007,3.8353192417192683,3.5659858812617014,False,-0.45,False,alt,-0.2523846223646758
2.5124189,6.8441873,commit,-0.45,True,30,0.9997332096099854,0.06945204734802246,-0.0,1.0,True,certified,0.0028719000000001493,3.792856269233457,3.5213939442579156,False,-0.45,False,alt,-0.25558060650032227
2.5325015,6.8642699,commit,-0.45,True,30,0.9997332096099854,0.06945204734802246,-0.0,1.0,True,certified,0.02295449999999999,3.7473176027052406,3.4873784978034577,False,-0.45,False,alt,-0.2580735072395696
2.5529592,6.8847276,commit,-0.45,True,31,1.0276119709014893,0.06945204734802246,-0.0,1.0,True,certified,0.015706100000000056,3.716676007389938,3.4613142402354256,False,-0.45,False,alt,-0.2600168426021861
2.572258,6.9040264,commit,-0.45,True,31,1.0276119709014893,0.06945204734802246,-0.0,1.0,True,certified,0.035004900000000116,3.679002338430695,3.4480504407755275,False,-0.45,False,alt,-0.2610170632531623
2.5921617,6.9239301,commit,-0.45,True,32,1.0627968311309814,0.06945204734802246,-0.0,1.0,True,certified,0.015025099999999902,3.6172805921837,3.3959956368943285,False,-0.45,False,alt,-0.2650180083337972
2.6125091,6.9442775,commit,-0.45,True,33,1.0967485904693604,0.06945204734802246,-0.0,1.0,True,certified,0.005667199999999983,3.4504624255045226,3.2696351781439272,False,-0.45,False,alt,-0.2752600675500753
2.6321728,6.9639412,commit,-0.45,True,33,1.0967485904693604,0.06945204734802246,-0.0,1.0,True,certified,0.025330900000000156,3.423071700254582,3.254718294748431,False,-0.45,False,alt,-0.27652162752523696
2.6521939,6.9839623,commit,-0.45,True,34,1.1318223476409912,0.06945204734802246,-0.0,1.0,True,certified,0.010915299999999739,3.345118253427259,3.202866092415094,False,-0.45,False,alt,-0.28099832276202424
2.6722666,7.004035,commit,-0.45,True,34,1.1318223476409912,0.06945204734802246,-0.0,1.0,True,certified,0.030987999999999793,3.2909316638753547,3.1699541372785176,False,-0.45,False,alt,-0.2839157795426882
2.6921653,7.0239337,commit,-0.45,True,35,1.1670525074005127,0.06945204734802246,-0.0,1.0,True,certified,0.016928400000000288,3.2467786648114596,3.1385526739248384,False,-0.45,False,alt,-0.28675637897595885
2.7121682,7.0439366,commit,-0.45,True,36,1.19431734085083,0.06945204734802246,-0.0,1.0,True,certified,0.007418699999999667,3.2814242548628187,3.1680436245804806,False,-0.45,False,alt,-0.2840869971035137
2.7322762,7.0640446,commit,-0.45,True,36,1.19431734085083,0.06945204734802246,-0.0,1.0,True,certified,0.027526699999999682,3.2201624200743284,3.120490514210479,False,-0.45,False,alt,-0.28841619479420555
2.7527731,7.0845415,commit,-0.45,True,37,1.2289197444915771,0.06945204734802246,-0.0,1.0,True,certified,0.015277399999999997,3.2194572293483037,3.1155661873935543,False,-0.45,False,alt,-0.2888720527400926
2.7722644,7.1040328,commit,-0.45,True,37,1.2289197444915771,0.06945204734802246,-0.0,1.0,True,certified,0.034768699999999875,3.1764002464183805,3.0759424324168574,False,-0.45,False,alt,-0.29259325223874355
2.7921916,7.12396,commit,-0.45,True,38,1.2636468410491943,0.06945204734802246,-0.0,1.0,True,certified,0.019413800000000148,3.139224701122761,3.038590429539896,False,-0.45,False,alt,-0.2961899673120073
2.8124218,7.1441902,commit,-0.45,True,39,1.298267126083374,0.06945204734802246,-0.0,1.0,True,certified,0.0026898000000001865,3.0628561607982414,2.9732767438629963,False,-0.45,False,alt,-0.3026963439772798
2.8321831,7.1639515,commit,-0.45,True,39,1.298267126083374,0.06945204734802246,-0.0,1.0,True,certified,0.022451100000000057,3.031815996238306,2.9430801407629583,False,-0.45,False,alt,-0.30580207026461936
2.8524956,7.184264,commit,-0.45,True,40,1.3330411911010742,0.06945204734802246,-0.0,1.0,True,certified,0.007437300000000313,2.960929343954691,2.8752467601055605,False,-0.45,False,alt,-0.3130166121696483
2.8725686,7.204337,commit,-0.45,True,40,1.3333070278167725,0.06945204734802246,-0.0,1.0,True,certified,0.0018256999999999302,2.891011109698228,2.8059833472366362,False,-0.45,False,alt,-0.32074317222385873
2.8921975,7.2239659,commit,-0.45,True,40,1.3333070278167725,0.06945204734802246,-0.0,1.0,True,certified,0.02145459999999977,2.8473892517342043,2.7619014710229925,False,-0.45,False,alt,-0.3258624572391589
2.9126111,7.2443795,commit,-0.45,True,40,1.3324384689331055,0.06945204734802246,-0.0,1.0,True,certified,0.005268099999999887,2.7888765031475744,2.71082275577329,False,-0.45,False,alt,-0.33200252509436595
2.9323676,7.264136,commit,-0.45,True,40,1.3324384689331055,0.06945204734802246,-0.0,1.0,True,certified,0.025024600000000063,2.7455541446405123,2.676303497710999,False,-0.45,False,alt,-0.33628473032664497
2.9521704,7.2839388,commit,-0.45,True,40,1.3333938121795654,0.06945204734802246,-0.0,1.0,True,certified,0.010871100000000133,2.7018420410265853,2.63236328743096,False,-0.45,False,alt,-0.3418980975374223
2.9725228,7.3042912,commit,-0.45,True,40,1.3333938121795654,0.06945204734802246,-0.0,1.0,True,certified,0.031223500000000293,2.6548097317003814,2.584703596536438,False,-0.45,False,alt,-0.3482024017013094
2.9923191,7.3240875,commit,-0.45,True,40,1.3332493305206299,0.06945204734802246,-0.0,1.0,True,certified,0.01816849999999981,2.6026668919840383,2.5280611434058757,False,-0.45,False,alt,-0.35600404774525923
3.0122965,7.3440649,commit,-0.45,True,40,1.3327805995941162,0.06945204734802246,-0.0,1.0,True,certified,0.004461100000000329,2.4094066127118334,2.3525226529913965,False,-0.45,False,alt,-0.3825680483270107
3.03258,7.3643484,commit,-0.45,True,40,1.3327805995941162,0.06945204734802246,-0.0,1.0,True,certified,0.024744600000000005,2.3367454648546024,2.2881150134228285,False,-0.45,False,alt,-0.39333687105775134
3.0522314,7.3839998,commit,-0.45,True,40,1.3332335948944092,0.06945204734802246,-0.0,1.0,True,certified,0.014348200000000144,2.262769684354036,2.2198822696487497,False,-0.45,False,alt,-0.40542690587929525
3.0724421,7.4042105,commit,-0.45,True,40,1.3335916996002197,0.06945204734802246,-0.0,1.0,True,certified,0.003727599999999942,2.2067975851754738,2.166651055925299,False,-0.45,False,alt,-0.41538760823470133
3.0924948,7.4242632,commit,-0.45,True,40,1.3335916996002197,0.06945204734802246,-0.0,1.0,True,certified,0.023780299999999865,2.15441219405886,2.1175848537010453,False,-0.45,False,alt,-0.42501248458922886
3.1123093,7.4440777,commit,-0.45,True,40,1.3330888748168945,0.06945204734802246,-0.0,1.0,True,certified,0.00666739999999999,2.13489573258906,2.098697189694985,False,-0.45,False,alt,-0.4288374732758859
3.1325012,7.4642696,commit,-0.45,True,40,1.3330888748168945,0.06945204734802246,-0.0,1.0,True,certified,0.02685929999999992,2.0687892975808797,2.036313999009778,False,-0.45,False,alt,-0.4419750590712697
3.1524821,7.4842505,commit,-0.45,True,40,1.3330888748168945,0.06945204734802246,-0.0,1.0,False,certified,0.046840199999999665,1.9187539998056244,1.884228255293861,False,,False,alt,-0.47764913697233435
3.1720688,7.5038372,commit,-0.45,True,40,1.3330888748168945,0.06945204734802246,-0.0,1.0,False,certified,0.06642689999999973,1.8666316951527533,1.834011642311119,False,,False,alt,-0.4907275282428798
