t_ff,t_rel,phase,e_meas,ready,n_hist,span_s,gap_s,vz_vis,rate_auth,certified_det,feat_cert,feat_age,R,tz,admit_ok,e_cross,would_capture,owner,vz_cmd_if_term
2.1761732,6.3446023,commit,-0.45,True,17,0.6665756702423096,0.09737753868103027,-0.0,1.0,True,certified,0.005017700000000236,3.796331942380309,3.3651000522562464,False,-0.45,False,alt,-0.26745118600457785
2.1960761,6.3645052,commit,-0.45,True,17,0.6665756702423096,0.09737753868103027,-0.0,1.0,True,certified,0.02492060000000018,3.7617937080554245,3.3232316834382503,False,-0.45,False,alt,-0.2708207208318532
2.2161351,6.3845642,commit,-0.45,True,18,0.6945641040802002,0.09737753868103027,-0.0,1.0,True,certified,0.017279299999999775,3.697126987615503,3.239220092812616,False,-0.45,False,alt,-0.2778446583475375
2.2364708,6.4048999,commit,-0.45,True,19,0.7289795875549316,0.09737753868103027,-0.0,1.0,True,certified,0.0006462000000002632,3.5996899849988697,3.161391609185614,False,-0.45,False,alt,-0.28468475635381446
2.2560583,6.4244874,commit,-0.45,True,19,0.7289795875549316,0.09737753868103027,-0.0,1.0,True,certified,0.02023369999999991,3.5683676491613037,3.15921401167798,False,-0.45,False,alt,-0.28488098516693255
2.2760974,6.4445265,commit,-0.45,True,20,0.7638471126556396,0.09737753868103027,-0.0,1.0,True,certified,0.006268199999999613,3.5624519938292774,3.19022825654437,False,-0.45,False,alt,-0.28211147530079017
2.2962805,6.4647096,commit,-0.45,True,20,0.7638471126556396,0.09737753868103027,-0.0,1.0,True,certified,0.026451299999999733,3.508483901149726,3.158574820511881,False,-0.45,False,alt,-0.2849386356642156
2.3160378,6.4844669,commit,-0.45,True,21,0.7984142303466797,0.09737753868103027,-0.0,1.0,True,certified,0.015253400000000195,3.496239305297124,3.1626958371829432,False,-0.45,False,alt,-0.28456735846013015
2.3361651,6.5045942,commit,-0.45,True,21,0.7984142303466797,0.09737753868103027,-0.0,1.0,True,certified,0.035380700000000154,3.4613761935590897,3.119509059324565,False,-0.45,False,alt,-0.2885069358301103
2.3560811,6.5245102,commit,-0.45,True,22,0.8331646919250488,0.09737753868103027,-0.0,1.0,True,certified,0.01363879999999984,3.4175065830234987,3.0852911244378554,False,-0.45,False,alt,-0.29170667003554857
2.3761775,6.5446066,commit,-0.45,True,23,0.8611793518066406,0.09737753868103027,-0.0,1.0,True,certified,0.008399999999999963,3.3348816360824,3.0079393009184545,False,-0.45,False,alt,-0.2992081654457558
2.3960568,6.5644859,commit,-0.45,True,23,0.8611793518066406,0.09737753868103027,-0.0,1.0,True,certified,0.02827930000000034,3.319793338931707,2.9915745136948892,False,-0.45,False,alt,-0.30084492158893655
