fid,t_ff,e_z,vz,tau,h_tail,e_x,sigma_x,claimed_envelope,obs_miss,contained,small_envelope,R
20260719T200816-f170ead6,2.672341,-0.45,-0.0,1.873903838969035,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.274246039928324
20260719T200816-f170ead6,2.712041,-0.45,-0.0,1.7640624124729902,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.078192195085731
20260719T200816-f170ead6,2.7322786,-0.45,-0.0,1.81447578831371,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.168871339660551
20260719T200816-f170ead6,2.7720839,-0.45,-0.0,1.7836861786541554,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.1210266743372688
20260719T200816-f170ead6,2.8121987,-0.45,-0.0,1.7311254236076055,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,3.040961990167018
20260719T200816-f170ead6,2.8521637,-0.45,-0.0,1.7006989350574806,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.9880936869337145
20260719T200816-f170ead6,2.8721316,-0.45,-0.0,1.6719988567652404,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.9370586332059667
20260719T200816-f170ead6,2.9120508,-0.45,-0.0,1.6306862795487642,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.865505561105665
20260719T200816-f170ead6,2.9520645,-0.45,-0.0,1.5843042770669895,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.7876982017491465
20260719T200816-f170ead6,2.9722352,-0.45,-0.0,1.5498737066844703,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.725259639346873
20260719T200816-f170ead6,3.012076,-0.45,-0.0,1.467097771844422,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.581051801511669
20260719T200816-f170ead6,3.0320821,-0.45,-0.0,1.45746637174853,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.566616185990896
20260719T200816-f170ead6,3.0722125,-0.45,-0.0,1.4275877508935497,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.516793831146591
20260719T200816-f170ead6,3.1121842,-0.45,-0.0,1.3485414713217905,0.45,-0.45,0.06726812023536856,0.6445362404707371,-0.053581572003063356,True,False,2.385324777616435
20260719T201851-50f9dcc8,2.0241775,-0.45,0.0,2.6117536023737014,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.672502349551605
20260719T201851-50f9dcc8,2.1840387,-0.45,0.0,2.545608393954477,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.476158774678905
20260719T201851-50f9dcc8,2.2041524,-0.45,0.0,2.560599617960398,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.494726328435168
20260719T201851-50f9dcc8,2.2440545,-0.45,-0.0,2.515970498382078,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.441991926744148
20260719T201851-50f9dcc8,2.2841622,-0.45,-0.0,2.525873681476015,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.454401214924275
20260719T201851-50f9dcc8,2.3041209,-0.45,-0.0,2.528940535381018,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.454476491730821
20260719T201851-50f9dcc8,2.3445397,-0.45,-0.0,2.484112961567481,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.360861276404628
20260719T201851-50f9dcc8,2.3840414,-0.45,-0.0,2.460431677754616,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.322797066915119
20260719T201851-50f9dcc8,2.4040572,-0.45,-0.0,2.46122565862196,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.323448899421586
20260719T201851-50f9dcc8,2.4441959,-0.45,-0.0,2.395931820400099,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.205953918638677
20260719T201851-50f9dcc8,2.4843986,-0.45,-0.0,2.324204885621746,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.069024209995849
20260719T201851-50f9dcc8,2.5041928,-0.45,-0.0,2.330283065019686,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,4.0811541394314
20260719T201851-50f9dcc8,2.544389,-0.45,-0.0,2.256495309941676,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.9538220923856437
20260719T201851-50f9dcc8,2.5840992,-0.45,-0.0,2.2233446614632206,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.892953051273401
20260719T201851-50f9dcc8,2.6041197,-0.45,-0.0,2.2224548754289657,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.8937589201076577
20260719T201851-50f9dcc8,2.6444403,-0.45,-0.0,2.1992505918824383,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.8513441994131514
20260719T201851-50f9dcc8,2.6843952,-0.45,-0.0,2.1584649319107614,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.769977459651222
20260719T201851-50f9dcc8,2.7046719,-0.45,-0.0,2.1246831709971374,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.709897883330631
20260719T201851-50f9dcc8,2.7443204,-0.45,-0.0,2.0852248593587857,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.6349484771297984
20260719T201851-50f9dcc8,2.7841243,-0.45,-0.0,2.002988495993928,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.4805576452560527
20260719T201851-50f9dcc8,2.805189,-0.45,-0.0,1.995695916840016,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.467903714713044
20260719T201851-50f9dcc8,2.8444105,-0.45,-0.0,1.95218452178674,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.3940618012848933
20260719T201851-50f9dcc8,2.8841816,-0.45,-0.0,1.9055361371334665,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,3.314008825841515
20260719T201851-50f9dcc8,2.9844007,-0.45,-0.0,1.4821670249988383,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.6047154489136033
20260719T201851-50f9dcc8,3.024337,-0.45,-0.0,1.4969570254360876,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.6334437305784903
20260719T201851-50f9dcc8,3.0442498,-0.45,-0.0,1.5046382890949352,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.6473661497860275
20260719T201851-50f9dcc8,3.0846572,-0.45,-0.0,1.5169697071190973,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.653545170591171
20260719T201851-50f9dcc8,3.1042173,-0.45,-0.0,1.5324719871269126,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.675462138924127
20260719T201851-50f9dcc8,3.1446043,-0.45,-0.0,1.4373906018710125,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.5235909390203997
20260719T201851-50f9dcc8,3.2043816,-0.45,-0.0,1.3920649749332248,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.444360986157932
20260719T201851-50f9dcc8,3.2443096,-0.45,-0.0,1.403072522369736,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.4599421752780164
20260719T201851-50f9dcc8,3.2644157,-0.45,-0.0,1.3976108859824936,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.448024511293791
20260719T201851-50f9dcc8,3.3042097,-0.45,-0.0,1.3475538032052041,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.3589165739448448
20260719T201851-50f9dcc8,3.3442698,-0.45,-0.0,1.3127489157161312,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.296653719531469
20260719T201851-50f9dcc8,3.3844245,-0.45,-0.0,1.2683067148262952,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.2166970947233793
20260719T201851-50f9dcc8,3.4040417,-0.45,-0.0,1.246941453647899,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.178491028092712
20260719T201851-50f9dcc8,3.4442166,-0.45,-0.0,1.1898695645173885,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.0763503610337444
20260719T201851-50f9dcc8,3.4843408,-0.45,-0.0,1.1546453311116651,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,2.012904291956608
20260719T201851-50f9dcc8,3.5242122,-0.45,-0.0,1.1151314758289703,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,1.9414769867289041
20260719T201851-50f9dcc8,3.5444073,-0.45,-0.0,1.0734971159593523,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,1.8651679758105046
20260719T201851-50f9dcc8,3.5841774,-0.45,-0.0,1.025873849191854,0.45,-0.45,0.06726812023536856,0.6445362404707371,0.4100012710778283,True,False,1.7768910595954681
20260719T201851-50f9dcc8,3.6046793,-0.3990844380105909,-0.0,0.9969045585030024,0.45,-0.3990844380105909,0.06726812023536856,0.593620678481328,0.4100012710778283,True,False,1.723132217451016
20260719T201851-50f9dcc8,3.6440308,-0.2878743336659232,-0.0,0.9418675172395862,0.45,-0.2878743336659232,0.06726812023536856,0.4824105741366603,0.4100012710778283,True,False,1.6274082082409564
20260719T201851-50f9dcc8,3.6841489,-0.24577709585847168,-0.0,0.8963544779204374,0.45,-0.24577709585847168,0.06726812023536856,0.4403133363292088,0.4100012710778283,True,False,1.549354304510602
20260719T201851-50f9dcc8,3.704096,-0.2184023081169198,-0.45479329638838284,0.8661986929697582,0.45,-0.013745324742147513,0.06726812023536856,0.20828156521288463,0.4100012710778283,False,False,1.497460210617268
20260719T201851-50f9dcc8,3.744148,-0.1418193270636068,-0.7918157641341179,0.7972691985349396,0.45,0.2144977667967463,0.06726812023536856,0.4090340072674834,0.4100012710778283,False,False,1.37905947392188
20260719T201851-50f9dcc8,3.7644878,-0.1804649421739009,-0.9146219776703282,0.7861485713851457,0.45,0.23111494777774677,0.06726812023536856,0.42565118824848386,0.4100012710778283,True,False,1.35606556871106
20260719T201851-50f9dcc8,3.8040302,-0.17165363029156525,-1.0041844843244316,0.7527207922067929,0.45,0.28022938765442895,0.06726812023536856,0.47476562812516604,0.4100012710778283,True,False,1.2952933194527414
20260719T201851-50f9dcc8,3.8442559,-0.2406870083733347,-0.9850137208958873,0.7152078335186535,0.45,0.2025691660298146,0.06726812023536856,0.3971054065005517,0.4100012710778283,False,False,1.2300519197667885
20260719T201851-50f9dcc8,3.8840536,-0.2420614268706076,-0.7514011901971922,0.6863655957201004,0.45,0.0960691087181289,0.06726812023536856,0.29060534918886605,0.4100012710778283,False,False,1.1808055937449924
20260719T201851-50f9dcc8,3.9241879,-0.29306202747266824,-0.6470203208467045,0.6201845621000254,0.45,-0.0019028830916512085,0.06726812023536856,0.19643912356238832,0.4100012710778283,False,True,1.0688638399546604
