slice,frame_id,cyan_frac,h_mean,s_mean,v_mean,gate_hit,gate_dist_px,n_gates_proxy
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,33,0.133889,99.05,192.4,120.1,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,34,0.193273,98.84,198.6,129.3,True,0.6,1
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,35,0.224961,98.46,208.3,156.0,,,0
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,36,0.226523,98.38,210.1,162.8,True,6.0,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,37,0.223898,98.37,210.1,163.5,True,8.5,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,38,0.217782,98.46,209.1,160.2,True,8.3,1
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
r2_f3,39,0.209774,98.55,206.8,153.1,True,8.6,1
