fid,t_ff,R,tz,span_px,product,mode,cert_logged,cert_live,fiction,e_accepted,ready,epoch_id
20260719T202720-50f9dcc8,2.9734309,2.4230687142881497,2.422481869474874,53.150729063673246,128.7566775061197,BAR_FULL,certified,certified,True,False,True,0
20260719T202720-50f9dcc8,3.0097691,2.297871446705128,2.2967282123009904,53.08483775994799,121.92144452869346,BAR_FULL,certified,certified,True,False,True,0
20260719T202720-50f9dcc8,4.1408632,0.679326755480924,-0.6702979849675493,51.0098029794274,-34.19176815070188,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.1746159,0.7134815596113795,-0.7040833212169582,49.09175083453431,-34.564682971934296,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.212002,0.8312502074435679,-0.8205832842630266,44.28317965096906,-36.33803699560182,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.2489672,0.9190672320602714,-0.904702904506566,43.104524124504614,-38.99678817281267,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.2728549,0.9782261479240211,-0.9613290863342553,42.190046219457976,-40.558518584551535,BAR_FULL,certified,certified,False,False,False,0
20260719T202720-50f9dcc8,4.3074441,1.060478065861907,-1.041251941389573,39.05124837953327,-40.66218818887544,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.3414945,1.1631193358357257,-1.1406305341800163,38.01315561749642,-43.35896599785303,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.3757026,1.19520124616255,-1.1710957633826986,38.0,-44.50163900854255,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.412347,1.301935670593944,-1.2703749244473843,37.013511046643494,-47.02103629941215,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.4733564,1.4175579018929552,-1.3794832003634234,36.05551275463989,-49.737974125514874,BAR_FULL,certified,certified,False,False,True,0
20260719T202720-50f9dcc8,4.5088982,1.5263965548384153,-1.4782845325924194,38.01315561749642,-56.1942599843736,BAR_FULL,certified,certified,False,False,True,0
