cohort,sweep,flight,side_frame_id,withheld_full_frame_id,anchor_frame_id,side_ts_s,anchor_ts_s,time_since_anchor_s,time_since_anchor_bin,range_z_m,range_bin,side_e_z,withheld_full_e_z,anchor_side_e_z,anchor_full_e_z,maintenance_residual_e_m,anchor_residual_e_m,residual_drift_from_anchor_m,maintenance_interval_v_mps,full_withheld_below_m
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,288,288,279,1784528891.9105654,1784528891.6120477,0.29851770401000977,0p25-0p50,1.3174319265968548,1p0-1p5,-0.3484931090558284,-0.26862532896753777,-0.45,-0.45,-0.07986778008829065,0.0,-0.07986778008829065,-0.2675478841469736,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,289,289,279,1784528891.9450836,1784528891.6120477,0.333035945892334,0p25-0p50,1.2406072939723234,1p0-1p5,-0.3150992838219404,-0.21621559437688087,-0.45,-0.45,-0.09888368944505954,0.0,-0.09888368944505954,-0.29691596557275923,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,290,290,279,1784528891.9796789,1784528891.6120477,0.367631196975708,0p25-0p50,1.1511340329694555,1p0-1p5,-0.33873018028506324,-0.25327965303003064,-0.45,-0.45,-0.0854505272550326,0.0,-0.0854505272550326,-0.23243546238182536,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,291,291,279,1784528892.0073287,1784528891.6120477,0.3952810764312744,0p25-0p50,1.0823596317002115,1p0-1p5,-0.34747513358656323,-0.2795363817141747,-0.45,-0.45,-0.06793875187238851,0.0,-0.06793875187238851,-0.17187453668605027,2.0
sweep29,drop_full_below_2p0m,20260720T062804-c38fd469,292,292,279,1784528892.0420578,1784528891.6120477,0.4300100803375244,0p25-0p50,0.9888656627732936,0p5-1p0,-0.3487311644662219,-0.2832213953199584,-0.45,-0.45,-0.0655097691462635,0.0,-0.0655097691462635,-0.15234472897668686,2.0
sweep29,drop_full_below_2p0m,20260720T071112-cd18c5fb,303,303,302,1784531480.132076,1784531480.0976124,0.03446364402770996,0p00-0p10,1.9027490654879835,1p5-2p0,-0.2824694106673621,-0.23254347185842905,-0.300188567374107,-0.23730212156147812,-0.049925938808933035,-0.06288644581262887,0.012960507003695831,0.3760631636421017,2.0
sweep29,drop_full_below_2p0m,20260720T071112-cd18c5fb,304,304,302,1784531480.1599298,1784531480.0976124,0.0623173713684082,0p00-0p10,1.8205209770928898,1p5-2p0,-0.27172788430730044,-0.1851786338621162,-0.300188567374107,-0.23730212156147812,-0.08654925044518424,-0.06288644581262887,-0.02366280463255538,-0.37971442172465,2.0
sweep29,drop_full_below_2p0m,20260720T071112-cd18c5fb,306,306,302,1784531480.2293882,1784531480.0976124,0.1317758560180664,0p10-0p25,1.648511592213068,1p5-2p0,-0.14666132403329268,-0.03143560733548645,-0.300188567374107,-0.23730212156147812,-0.11522571669780624,-0.06288644581262887,-0.05233927088517737,-0.39718407048709803,2.0
sweep29,drop_full_below_2p0m,20260720T071112-cd18c5fb,315,315,302,1784531480.5281603,1784531480.0976124,0.43054795265197754,0p25-0p50,1.064305018103599,1p0-1p5,-0.16110497074241079,0.03519142721221186,-0.300188567374107,-0.23730212156147812,-0.19629639795462264,-0.06288644581262887,-0.13340995214199378,-0.30986084435020483,2.0
primary_f2_f4,drop_full_below_1p5m,F2,315,315,306,1784531480.5281603,1784531480.2293882,0.29877209663391113,0p25-0p50,1.064305018103599,1p0-1p5,-0.16110497074241079,0.03519142721221186,-0.14666132403329268,-0.03143560733548645,-0.19629639795462264,-0.11522571669780624,-0.08107068125681641,-0.27134622734248587,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,313,313,312,1784492339.311109,1784492339.276071,0.035037994384765625,0p00-0p10,1.4694710908491615,1p0-1p5,-0.45,-0.4044994646635328,-0.45,-0.40913566493568826,-0.045500535336467196,-0.04086433506431175,-0.004636200272155444,-0.13231922527424242,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,314,314,312,1784492339.3456786,1784492339.276071,0.06960749626159668,0p00-0p10,1.3850133868307322,1p0-1p5,-0.45,-0.3568618961010103,-0.45,-0.40913566493568826,-0.09313810389898969,-0.04086433506431175,-0.052273768834677936,-0.7509790129244747,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,315,315,312,1784492339.3803594,1784492339.276071,0.10428833961486816,0p10-0p25,1.3271587416031214,1p0-1p5,-0.4174870015198588,-0.3232203044904954,-0.45,-0.40913566493568826,-0.09426669702936341,-0.04086433506431175,-0.05340236196505166,-0.5120645525881803,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,316,316,312,1784492339.4078956,1784492339.276071,0.13182449340820312,0p10-0p25,1.2677735845134732,1p0-1p5,-0.3559877952488162,-0.24491759983445904,-0.45,-0.40913566493568826,-0.11107019541435714,-0.04086433506431175,-0.07020586035004539,-0.5325706819342622,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,317,317,312,1784492339.4428716,1784492339.276071,0.16680049896240234,0p10-0p25,1.2139706654873417,1p0-1p5,-0.3482329262576793,-0.21727889165352687,-0.45,-0.40913566493568826,-0.13095403460415245,-0.04086433506431175,-0.0900896995398407,-0.5401044966906685,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,318,318,312,1784492339.4774024,1784492339.276071,0.20133137702941895,0p10-0p25,1.1292388301472043,1p0-1p5,-0.3064846152470597,-0.20851966911705316,-0.45,-0.40913566493568826,-0.09796494613000656,-0.04086433506431175,-0.057100611065694806,-0.2836150624318789,1.5
sweep29,drop_full_below_1p5m,20260719T201851-50f9dcc8,319,319,312,1784492339.5121758,1784492339.276071,0.23610472679138184,0p10-0p25,1.0461905435399257,1p0-1p5,-0.2932941588561862,-0.19243543235992103,-0.45,-0.40913566493568826,-0.10085872649626518,-0.04086433506431175,-0.059994391431953425,-0.2541007638740052,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,286,286,285,1784528891.8408537,1784528891.813225,0.027628660202026367,0p00-0p10,1.492463993411707,1p0-1p5,-0.3979434879540166,-0.34398305750939495,-0.4088480811891772,-0.36555004448247863,-0.05396043044462162,-0.04329803670669857,-0.010662393737923048,-0.3859178715130398,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,287,287,285,1784528891.8756924,1784528891.813225,0.062467336654663086,0p00-0p10,1.3970277249409886,1p0-1p5,-0.37867440399295216,-0.33283458686598905,-0.4088480811891772,-0.36555004448247863,-0.04583981712696311,-0.04329803670669857,-0.002541780420264539,-0.04068975173883613,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,288,288,285,1784528891.9105654,1784528891.813225,0.09734034538269043,0p00-0p10,1.3174319265968548,1p0-1p5,-0.3484931090558284,-0.26862532896753777,-0.4088480811891772,-0.36555004448247863,-0.07986778008829065,-0.04329803670669857,-0.03656974338159208,-0.3756894763196012,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,289,289,285,1784528891.9450836,1784528891.813225,0.13185858726501465,0p10-0p25,1.2406072939723234,1p0-1p5,-0.3150992838219404,-0.21621559437688087,-0.4088480811891772,-0.36555004448247863,-0.09888368944505954,-0.04329803670669857,-0.05558565273836097,-0.42155504538087235,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,290,290,285,1784528891.9796789,1784528891.813225,0.16645383834838867,0p10-0p25,1.1511340329694555,1p0-1p5,-0.33873018028506324,-0.25327965303003064,-0.4088480811891772,-0.36555004448247863,-0.0854505272550326,-0.04329803670669857,-0.04215249054833403,-0.25323832100590354,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,291,291,285,1784528892.0073287,1784528891.813225,0.19410371780395508,0p10-0p25,1.0823596317002115,1p0-1p5,-0.34747513358656323,-0.2795363817141747,-0.4088480811891772,-0.36555004448247863,-0.06793875187238851,-0.04329803670669857,-0.02464071516568994,-0.12694612676392467,1.5
sweep29,drop_full_below_1p5m,20260720T062804-c38fd469,292,292,285,1784528892.0420578,1784528891.813225,0.22883272171020508,0p10-0p25,0.9888656627732936,0p5-1p0,-0.3487311644662219,-0.2832213953199584,-0.4088480811891772,-0.36555004448247863,-0.0655097691462635,-0.04329803670669857,-0.022211732439564924,-0.09706536842092878,1.5
sweep29,drop_full_below_1p5m,20260720T071112-cd18c5fb,315,315,306,1784531480.5281603,1784531480.2293882,0.29877209663391113,0p25-0p50,1.064305018103599,1p0-1p5,-0.16110497074241079,0.03519142721221186,-0.14666132403329268,-0.03143560733548645,-0.19629639795462264,-0.11522571669780624,-0.08107068125681641,-0.27134622734248587,1.5
