flight,flight_id,frame_id,mono_ns,t_rel_s,feature_ts_ns,topic,phase,commit,source,feature_mode,cert_status,range_z_m,range_norm_m,x_m,y_down_m,gate_age_s,center_x_px,y_top_px,span_px,span_x_range,e_meas,e_reject,level_pitch_rad,level_roll_rad,image_w,image_h,det_confidence,det_cert_status,cohort,setpoint_speed_xy_mps,sweep,fed,source_valid,active_sample,observer_ready,ready_legacy,shadow_owner,shadow_capture,shadow_phase,active_source,hist_n,hist_span_s,hist_gap_s,admission_score,admission_mu,admission_sigma,admission_h_tail_s,admission_vz_vis_mps,admission_e_cross_m,sigma_induced_abort,oracle_e_z,oracle_disarmed,jump_grace_consumed,applied_e_z,transition_id
F2,20260720T071112-cd18c5fb,305,208150303798100,6.8317534,1784531480194656100,feature_side,commit,True,tracker_parallel,SIDE_PAIR,none,1.7168908179638442,2.1302923858979095,0.024272159765277045,-1.260889539518184,0.0,303.3513235415434,32.821639793717594,259.0835035869567,444.81808839434865,,not_certified,-0.31070304002823274,0.00025602409079155774,640,360,0.5,none,primary_f2_f4,1.409706944610765,baseline,True,False,False,True,False,term,False,position,FULL_QUAD,8,0.22894597053527832,0.03487396240234375,0.4905470887840468,0.34912573254673723,0.07071067811865477,0.5,-0.8180500079816251,0.28912573254673724,False,-0.1198992714440753,False,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,306,208150338727400,6.8666827,1784531480229388300,feature,commit,True,detector,FULL_QUAD,certified,1.648511592213068,2.0410611171228696,0.04819051533367421,-1.2025047560828463,0.009296312,285.5,27.5,227.1079038695043,374.3900122120889,-0.03143560733548645,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.395029416036007,baseline,True,True,True,True,False,term,False,position,FULL_QUAD,9,0.26367831230163574,0.03487396240234375,0.7359056619341438,0.5944843056968343,0.07071067811865477,0.5,-1.1318398260646414,0.5344843056968342,False,-0.1198992714440753,False,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,306,208150338727400,6.8666827,1784531480229388300,feature_side,commit,True,tracker_parallel,SIDE_PAIR,certified,1.648511592213068,2.0410611171228696,0.04819051533367421,-1.2025047560828463,0.009296312,305.3871505189935,29.243000658386194,262.89312644658247,433.3823664603271,-0.14666132403329268,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,certified,primary_f2_f4,1.395029416036007,baseline,True,True,False,True,False,term,False,position,FULL_QUAD,9,0.26367831230163574,0.03487396240234375,0.7359056619341438,0.5944843056968343,0.07071067811865477,0.5,-1.1318398260646414,0.5344843056968342,False,-0.1198992714440753,False,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,307,208150373706100,6.9016614,1784531480264298600,feature,commit,True,detector,FULL_QUAD,certified,1.5762884941520543,1.958798741095215,0.014608971110171308,-1.1627526260057,0.008059432,271.5,24.5,239.00209204105306,376.7362477625822,-0.02277092753551163,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3926156740979336,baseline,True,True,True,True,False,term,False,position,FULL_QUAD,10,0.29858851432800293,0.03491020202636719,0.8860007686485907,0.7445794124112812,0.07071067811865477,0.5,-1.4147006798935857,0.6845794124112812,False,-0.1198992714440753,False,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,307,208150373706100,6.9016614,1784531480264298600,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.5762884941520543,1.958798741095215,0.014608971110171308,-1.1627526260057,0.008059432,298.25561704738084,25.910574548157438,287.40102545867717,453.02692963801445,-0.16151078534174457,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.3926156740979336,baseline,True,False,False,True,False,term,False,position,FULL_QUAD,10,0.29858851432800293,0.03491020202636719,0.8860007686485907,0.7445794124112812,0.07071067811865477,0.5,-1.4147006798935857,0.6845794124112812,False,-0.1198992714440753,False,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,308,208150408857100,6.9368124,1784531480298793200,feature,commit,True,detector,FULL_QUAD,certified,1.497103373282544,1.884470214415466,0.026223899581717836,-1.144212299276593,0.0,267.0,16.0,244.0327846827143,365.34230514002434,0.025564722327002853,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3793854312377976,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,11,0.3330833911895752,0.03491020202636719,0.9276067831472734,0.786185426909964,0.07071067811865477,0.5,-1.4012414091659222,0.7261854269099639,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,308,208150408857100,6.9368124,1784531480298793200,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.497103373282544,1.884470214415466,0.026223899581717836,-1.144212299276593,0.0,297.8955899241589,17.462181319886717,305.9764416451629,458.07836293196283,-0.14921340040820946,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.3793854312377976,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,11,0.3330833911895752,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,309,208150438790800,6.9667461,1784531480326569300,feature,commit,True,detector,FULL_QUAD,certified,1.4409211052718314,1.8250063953457596,0.032456663516831394,-1.1195272557774028,0.0,265.5,10.0,255.07057846799972,367.53657984843557,0.05184613472384944,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.363899729276213,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,12,0.36085939407348633,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,309,208150438790800,6.9667461,1784531480326569300,feature_side,commit,True,tracker_parallel,SIDE_PAIR,probation,1.4409211052718314,1.8250063953457596,0.032456663516831394,-1.1195272557774028,0.0,298.84589566432066,11.702417633837658,318.1571538415146,458.43935776345535,-0.12562566786576135,ok,-0.31070304002823274,0.00025602409079155774,640,360,0.5,probation,primary_f2_f4,1.363899729276213,baseline,True,False,False,False,False,term,False,position,FULL_QUAD,12,0.36085939407348633,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
F2,20260720T071112-cd18c5fb,310,208150470606100,6.9985614,1784531480361406400,feature,commit,True,detector,FULL_QUAD,certified,1.3790571721205138,1.7324278978709382,0.02374008284986481,-1.0483053685881663,0.0,259.5,7.0,265.1207272168662,365.61664034622567,0.09609947540341199,ok,-0.31070304002823274,0.00025602409079155774,640,360,1.0,certified,primary_f2_f4,1.3758991487328323,baseline,True,True,True,False,False,term,False,position,FULL_QUAD,13,0.39569664001464844,0.03491020202636719,,,,,,,False,-0.1198992714440753,True,False,-0.1198992714440753,
