artifact,term_status_csv,row,ts_ns,cmd_col,cmd_mps,needed_e_col,needed_e_m,registered_wrong_sign,body_z_adapter_v_bz_applied,opposition_to_velocity_rate
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,92,85913500000,vz_up,0.02859595981237173,e_z,0.03630729703102343,False,-0.030041184471617754,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,93,85929500000,vz_up,0.026859222960813722,e_z,0.03388681056228853,False,-0.02821667385967675,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,94,85944500000,vz_up,0.025220987572948092,e_z,0.031627689858135966,False,-0.02649564292321867,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,95,85976500000,vz_up,0.023788945633695817,e_z,0.0295191772009269,False,-0.024991226343028958,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,96,85991500000,vz_up,0.02242855152561715,e_z,0.027551232054198443,False,-0.023562078637442516,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,97,86007500000,vz_up,0.02093331475724267,e_z,0.025714483250585212,False,-0.021991273394946345,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,98,86023500000,vz_up,0.019742957489931406,e_z,0.024000184367212865,False,-0.020740756101976957,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,99,86054500000,vz_up,0.018227162234249247,e_z,0.02240017207606534,False,-0.019148353357116128,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,100,86085500000,vz_up,0.016857205162609426,e_z,0.02090682727099432,False,-0.017709159380856453,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,101,86116500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,102,86132500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,103,86148500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,104,86179500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,105,86194500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,106,86210500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,107,86226500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,108,86257500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,109,86304500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,110,86335500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,111,86351500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,112,86382500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,113,86398500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,114,86413500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,115,86444500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,116,86476500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,117,86507500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,118,86523500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,119,86538500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,120,86569500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,121,86585500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,122,86601500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,123,86616500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,124,86648500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,125,86663500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\06_20260720T064309-b59d0674.csv,126,86679500000,vz_up,0.0,e_z,0.0,False,-0.0,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,62,133836000000,vz_up,0.06340605796487152,e_z,0.13972314794687818,False,-0.06660043133139579,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,63,133867000000,vz_up,0.06407917509480417,e_z,0.15006523490035398,False,-0.06730745984931599,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,64,133883000000,vz_up,0.06445284765589099,e_z,0.16802398294666784,False,-0.06769995789357033,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,65,133899000000,vz_up,0.06508216620474207,e_z,0.18365990753391168,False,-0.06836098127435755,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,66,133914000000,vz_up,0.06571768252344427,e_z,0.198108730286615,False,-0.06902851466631132,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,67,133945000000,vz_up,0.06762498816371776,e_z,0.20251397347617717,False,-0.07103190964780337,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,68,133961000000,vz_up,0.06896142921245633,e_z,0.24044492742456178,False,-0.07243568009422167,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,69,133977000000,vz_up,0.06966302352888629,e_z,0.2639550245553363,False,-0.0731726204685906,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,70,134008000000,vz_up,0.07020645888796341,e_z,0.292342867724951,False,-0.07374343389678575,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,71,134024000000,vz_up,0.07093206750455049,e_z,0.3177295177201689,False,-0.07450559840272697,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,72,134039000000,vz_up,0.0726963413472826,e_z,0.2753774126354904,False,-0.07635875569848184,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,73,134054500000,vz_up,0.07423399936523317,e_z,0.3228642005632477,False,-0.07797388034938545,False
terminal-ab-46e9a64-46e9a64-20260720T063932Z,tuning\terminal-ab-46e9a64-46e9a64-20260720T063932Z\term_status_live\08_20260720T064357-b59d0674.csv,74,134085500000,vz_up,0.07490790513812753,e_z,0.3228642005632477,False,-0.07868173724180334,False
