approach_id,cluster_id,flight,flight_id,anchor_frame_id,age_s,age_bin,r_v_mps,rv2_m2ps2,auth_at_latch,n_full_at_latch,span_full_at_latch_s
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,252,0.2,0p20-0p30,0.0,0.0,1.0,11,0.33507871627807617
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,253,0.1,0p10-0p20,0.0,0.0,1.0,11,0.33309507369995117
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,253,0.2,0p20-0p30,0.0,0.0,1.0,11,0.33309507369995117
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,254,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3333401679992676
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,255,0.1,0p10-0p20,0.0,0.0,1.0,11,0.3340275287628174
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,255,0.5,gt0p50,0.0,0.0,1.0,11,0.3340275287628174
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,256,0.1,0p10-0p20,0.0,0.0,1.0,11,0.32512331008911133
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,256,0.5,gt0p50,0.0,0.0,1.0,11,0.32512331008911133
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,257,0.5,gt0p50,0.0,0.0,1.0,11,0.33031702041625977
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,258,0.4,0p40-0p50,0.0,0.0,1.0,11,0.34053683280944824
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,258,0.5,gt0p50,0.0,0.0,1.0,11,0.34053683280944824
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,259,0.4,0p40-0p50,0.0,0.0,1.0,11,0.3392364978790283
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,259,0.5,gt0p50,0.0,0.0,1.0,11,0.3392364978790283
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,260,0.4,0p40-0p50,0.0,0.0,1.0,11,0.33044934272766113
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,260,0.5,gt0p50,0.0,0.0,1.0,11,0.33044934272766113
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,261,0.3,0p30-0p40,0.0,0.0,1.0,11,0.3333718776702881
