approach_id,cluster_id,flight,flight_id,fixture_dir,metrology_only,measurement_latch_mechanism_eligible,term_command_regime_eligible,cut_id,cut_frame_id,frame_id,feature_ts_ns,age_s,age2_s2,age_bin,range_z_m,r_v_mps,rv2_m2ps2,v_ref_oracle_mps,v_hold_mps,v_shadow_hold_mps,residual_sign_convention,v_latch_mps,v_latch_true_mps,v_full_raw_mps,v_anchor_old_mps,v_latch_auth_applied_mps,delta_latch_mps,auth_at_latch,rate_anchor_v_raw,rate_anchor_quality,shadow_vz_up,n_full_at_latch,span_full_at_latch_s,predicted_b0_from_auth_mps,rate_feed_forward_mps,command_regime,oracle_ref_n,oracle_ref_span_s,shadow_tau_s,shadow_e_z_cmd_m,shadow_e_cross_old_m,shadow_e_cross_new_m,shadow_vz_cmd_old_mps,shadow_vz_cmd_new_mps,shadow_command_delta_mps,shadow_e_cross_delta_m,era,era_family,recording_regime
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut03,281,287,1784282249137394700,0.20727109909057617,0.042961308518215446,0p20-0p30,2.728077797460334,0.12669954909407144,0.01605277574064102,-0.0,-0.12669954909407144,-0.12669954909407144,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.9309544563293457,,,,6,0.46547722816467285,-0.0,-0.12669954909407144,authority_limited,6,0.20727109909057617,1.121090672294094,-0.1,0.042041682673231134,0.042041682673231134,-0.08919885114677606,-0.08919885114677606,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut04,282,282,1784282248964681600,0.0,0.0,0p00-0p10,3.2180744371781556,-0.0,0.0,-0.0,0.0,0.0,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.3376293182373047,,,,6,0.16881465911865234,-0.0,0.0,authority_limited,5,0.172713041305542,1.2116923035986282,-0.1,-0.1,-0.1,-0.08252920291975784,-0.08252920291975784,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut04,282,284,1784282249034085200,0.06940340995788574,0.004816833313782354,0p00-0p10,2.953987897008263,0.16341721944859655,0.026705187612310763,-0.0,-0.16341721944859655,-0.16341721944859655,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.3376293182373047,,,,6,0.16881465911865234,-0.0,-0.16341721944859655,authority_limited,5,0.172713041305542,1.1588387806633722,-0.1,0.08937421132521034,0.08937421132521034,-0.08629328053964111,-0.08629328053964111,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut04,282,285,1784282249062787600,0.09810590744018555,0.009624769074662254,0p00-0p10,2.8705286889259254,0.15949064650701783,0.02543726632322652,-0.0,-0.15949064650701783,-0.15949064650701783,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.3376293182373047,,,,6,0.16881465911865234,-0.0,-0.15949064650701783,authority_limited,5,0.172713041305542,1.144789411858163,-0.1,0.0825832034116471,0.0825832034116471,-0.08735231035871058,-0.08735231035871058,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut04,282,286,1784282249099220800,0.13453912734985352,0.018100776788060102,0p10-0p20,2.8011199109239464,0.19486321999956613,0.037971674508599305,-0.0,-0.19486321999956613,-0.19486321999956613,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.3376293182373047,,,,6,0.16881465911865234,-0.0,-0.19486321999956613,authority_limited,5,0.172713041305542,1.132442226543469,-0.1,0.1206713387277385,0.1206713387277385,-0.08830472553573707,-0.08830472553573707,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut04,282,287,1784282249137394700,0.172713041305542,0.029829794637009854,0p10-0p20,2.728077797460334,0.014891027119966038,0.00022174268868756404,-0.0,-0.014891027119966038,-0.014891027119966038,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.3376293182373047,,,,6,0.16881465911865234,-0.0,-0.014891027119966038,authority_limited,5,0.172713041305542,1.121090672294094,-0.1,-0.0833058083949277,-0.0833058083949277,-0.08919885114677606,-0.08919885114677606,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut05,284,284,1784282249034085200,0.0,0.0,0p00-0p10,2.953987897008263,-0.0,0.0,-0.0,0.0,0.0,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.5558421611785889,,,,7,0.23821806907653809,-0.0,0.0,authority_limited,4,0.10330963134765625,1.1588387806633722,-0.1,-0.1,-0.1,-0.08629328053964111,-0.08629328053964111,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut05,284,285,1784282249062787600,0.028702497482299805,0.0008238333617214266,0p00-0p10,2.8705286889259254,-0.003926572941578721,1.541797506553817e-05,-0.0,0.003926572941578721,0.003926572941578721,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.5558421611785889,,,,7,0.23821806907653809,-0.0,0.003926572941578721,authority_limited,4,0.10330963134765625,1.144789411858163,-0.1,-0.10449509912840808,-0.10449509912840808,-0.08735231035871058,-0.08735231035871058,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut05,284,286,1784282249099220800,0.06513571739196777,0.004242661680166293,0p00-0p10,2.8011199109239464,0.03144600055096958,0.000988850950651579,-0.0,-0.03144600055096958,-0.03144600055096958,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.5558421611785889,,,,7,0.23821806907653809,-0.0,-0.03144600055096958,authority_limited,4,0.10330963134765625,1.132442226543469,-0.1,-0.06438922112017287,-0.06438922112017287,-0.08830472553573707,-0.08830472553573707,0.0,0.0,phase5c,phase5,archive
20260717T095722-a560c093:A1,20260717T095722-a560c093:A1,A048,20260717T095722-a560c093,20260717T100347-phase5c-ownership,False,True,True,20260717T095722-a560c093:A1:cut05,284,287,1784282249137394700,0.10330963134765625,0.010672879929188639,0p10-0p20,2.728077797460334,-0.1485261923286305,0.02206002980764134,-0.0,0.1485261923286305,0.1485261923286305,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.5558421611785889,,,,7,0.23821806907653809,-0.0,0.1485261923286305,authority_limited,4,0.10330963134765625,1.121090672294094,-0.1,-0.26651132881098627,-0.26651132881098627,-0.08919885114677606,-0.08919885114677606,0.0,0.0,phase5c,phase5,archive
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,False,True,True,20260717T101837-7223cc0c:A1:cut01,290,290,1784283524430432400,0.0,0.0,0p00-0p10,3.3096436191912186,-0.0,0.0,-0.0,0.0,0.0,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.4914383888244629,-0.0,0.0,flat_no_ff,9,0.3244893550872803,1.184117632857474,-0.1,-0.1,-0.1,-0.08445106907046326,-0.08445106907046326,0.0,0.0,phase5d,phase5,vertical
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,False,True,True,20260717T101837-7223cc0c:A1:cut01,290,300,1784283524754922100,0.3244893550872803,0.10529334156495906,0p30-0p40,3.4673271525799194,0.462592109847829,0.2139914600934659,-0.0,-0.462592109847829,-0.462592109847829,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.4914383888244629,-0.0,-0.462592109847829,down,12,0.4961061477661133,1.2413510901143252,-0.1,0.4742392198378882,0.4742392198378882,-0.08055738686368759,-0.08055738686368759,0.0,0.0,phase5d,phase5,vertical
20260717T101837-7223cc0c:A1,20260717T101837-7223cc0c:A1,A051,20260717T101837-7223cc0c,20260717T102447-phase5d-vertical,False,True,True,20260717T101837-7223cc0c:A1:cut01,290,301,1784283524794677000,0.3642444610595703,0.13267402741257683,0p30-0p40,3.258063977414724,0.5169074039391048,0.2671932642470649,-0.0,-0.5169074039391048,-0.5169074039391048,r_v = v_ref_oracle - (v_anchor_old + feed_forward),-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,,,,15,0.4914383888244629,-0.0,-0.5169074039391048,down,11,0.4642186164855957,1.1789618478654134,-0.1,0.5094141081233607,0.5094141081233607,-0.08482038683529622,-0.08482038683529622,0.0,0.0,phase5d,phase5,vertical
