t_rel_s,signed_plane_m,signed_plane_dot_n_m,active_gate_index,lock_present,det_present,det_certified,det_confidence,det_class,gate_rel_age_s,commit_predicate_vector,range_m,lateral_m,true_world_dz_m,opening_off_m,abort_corridor_breach_proxy,margin_lateral_m,margin_vertical_m,last_full_quad_signed_plane_m,phase,v_cmd_body_xyz,yaw_rate,blind_hold,speed_cap_mps,v_est_body_xyz,phase_transition,exit_cause,proxy_exit_cause,collision_impulse
0.1983,0.6054141675999039,0.4056517589766276,0,True,True,True,1.0,FULL_QUAD,0.209645408,UNLOGGED,0.8110606761836756,0.21380596510235916,0.4556248743476742,0.5032961522182393,True,0.5861940348976409,0.34437512565232586,0.6054141675999039,retreat,"(-1.2, 0.0, -0.2)",0.4073809178789428,False,UNLOGGED,"(1.974311690486107, 0.12367228923298161, -0.5148519503483917)",,UNLOGGED,RETREAT,
0.2181,0.5705616672509407,0.3739815522878317,0,True,True,True,1.0,FULL_QUAD,0.228091408,UNLOGGED,0.7807969252169881,0.20772061490141006,0.42163857878838196,0.4700286639958317,False,0.59227938509859,0.3783614212116181,0.5705616672509407,retreat,"(-1.2, 0.0, -0.2)",0.41897772804185757,False,UNLOGGED,"(1.9493084306971618, 0.11633710846404433, -0.16513603011138406)",,UNLOGGED,RETREAT,
0.238,0.5398406229932721,0.3455051171289243,0,True,True,True,1.0,FULL_QUAD,0.244468408,UNLOGGED,0.7570191896152286,0.20313911947693822,0.39201918786913525,0.4415252490169075,False,0.5968608805230619,0.4079808121308648,0.5398406229932721,retreat,"(-1.2, 0.0, -0.2)",0.4318862303668142,False,UNLOGGED,"(1.933668039967777, 0.11277745402810105, 0.0446855627800979)",,UNLOGGED,RETREAT,
0.2581,0.501420934525463,0.3103593463084592,0,True,False,False,1.0,none,0.265093408,UNLOGGED,0.7293130443905141,0.19861240632503457,0.35624060851363903,0.40786549143116835,False,0.6013875936749655,0.443759391486361,0.5398406229932721,retreat,"(-1.2, 0.0, -0.2)",0.4525668711380997,False,UNLOGGED,"(1.878102151949628, 0.10445134162668901, -0.025638941476988093)",,UNLOGGED,RETREAT,
0.2781,0.4615901091278284,0.27459413066564037,0,True,False,False,1.0,none,0.286628408,UNLOGGED,0.7003880738903767,0.19426784599663682,0.3197680139972212,0.37415448515806954,False,0.6057321540033632,0.48023198600277883,0.5398406229932721,retreat,"(-1.2, 0.0, -0.2)",0.478037270756032,False,UNLOGGED,"(1.8556976812393629, 0.09899044081480991, -0.13624335431565798)",,UNLOGGED,RETREAT,
0.298,0.42459677494328757,0.24178017365160295,0,True,True,True,1.0,FULL_QUAD,0.306995408,UNLOGGED,0.6721990071598966,0.18980909548783514,0.2858080065229494,0.34309431549142927,False,0.610190904512165,0.5141919934770507,0.42459677494328757,retreat,"(-1.2, 0.0, -0.2)",0.5044613611509635,False,UNLOGGED,"(1.83550256853176, 0.09310147508157995, -0.2569684269700679)",,UNLOGGED,RETREAT,
0.318,0.39980614406691406,0.2198540943369506,0,True,True,True,1.0,FULL_QUAD,0.320861408,UNLOGGED,0.6527704260320549,0.18669662626817374,0.26296451875729204,0.3224995633875685,False,0.6133033737318263,0.5370354812427081,0.39980614406691406,retreat,"(-1.2, 0.0, -0.2)",0.5242493705216035,False,UNLOGGED,"(1.8177434925040992, 0.0884659640500936, -0.35628282927673394)",,UNLOGGED,RETREAT,
0.3382,0.3518818435432232,0.17741664933934054,0,True,False,False,1.0,none,0.348617408,UNLOGGED,0.6151732102085351,0.18064543094078025,0.2187386238172837,0.28368883881686174,False,0.6193545690592198,0.5812613761827163,0.39980614406691406,retreat,"(-1.2, 0.0, -0.2)",0.5691431638816292,False,UNLOGGED,"(1.7650280552015625, 0.07855620403707482, -0.34517722442079557)",,UNLOGGED,RETREAT,
0.3653,0.316596175079053,0.14563392510633116,0,True,False,False,1.0,none,0.369392408,UNLOGGED,0.5911073559785751,0.17638359837744902,0.1857949619691246,0.256185365838265,False,0.623616401622551,0.6142050380308754,0.39980614406691406,retreat,"(-1.2, 0.0, -0.2)",0.6099562652135199,False,UNLOGGED,"(1.7468175478116255, 0.07158258758621917, -0.1977819621039568)",,UNLOGGED,RETREAT,
0.378,0.29303504310688705,0.12410234347452484,0,True,False,False,1.0,none,0.383394408,UNLOGGED,0.5773276857442367,0.173628969054122,0.1635295077596945,0.23851398030917442,False,0.6263710309458781,0.6364704922403055,0.39980614406691406,retreat,"(-1.2, 0.0, -0.2)",0.6418811465723061,False,UNLOGGED,"(1.7292148901997895, 0.0672398840923033, -0.03082939301825268)",,UNLOGGED,RETREAT,
0.3982,0.24683438404436975,0.08173671864761314,0,True,True,True,1.0,FULL_QUAD,0.411269408,UNLOGGED,0.5530729755846436,0.1683243508894604,0.11957400948063639,0.20647283319030985,False,0.6316756491105396,0.6804259905193637,0.24683438404436975,retreat,"(-1.2, 0.0, -0.2)",0.7181961894523917,False,UNLOGGED,"(1.7026447036846006, 0.0580707535482731, -0.06852980211039175)",,UNLOGGED,RETREAT,
0.418,15.595319624837959,13.073350492828508,1,False,True,True,1.0,FULL_QUAD,,UNLOGGED,19.566953524221873,-11.593724742588442,18.060908451451127,21.461846786765722,False,-10.793724742588442,-17.260908451451126,15.595319624837959,search,"(0.0, 0.0, -0.0)",0.6,False,UNLOGGED,"(1.681029241003713, 0.05236758892012433, -0.18577228609380234)",retreat→search,UNLOGGED,PASSED,
