g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.5,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.62,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.64,4,51,51,47,0.64,0.64,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,5,51,51,45,0.62,0.62,0.0,0.0,0.0,True,ELIGIBLE,,
