arm,frame_id,mono_ns,feature_ts_ns,t_rel_s,phase,prior_z_m,prior_norm_m,det_range_norm_m,det_z_m,range_mismatch_m,range_mismatch_frac,mismatch_threshold_m,tracker_status_before
parallel_tracker,246,208289072815000,1784531618963348200,4.5944561,align,3.791657886968985,3.8520352652370575,12.0197064354075,11.307489138935981,8.228048548438515,2.170039806786455,1.5166631547875942,none
parallel_tracker,247,208289106508400,1784531618998159500,4.6281495,align,3.7321782602309206,3.805692884070496,11.529865514461228,10.833074764790915,7.797687254230308,2.089312650823876,1.4928713040923682,none
parallel_tracker,248,208289142166600,1784531619032761100,4.6638077,align,3.676738897137825,3.761792456581333,11.237165002078628,10.47821501680607,7.560426104940802,2.056285832759637,1.4706955588551303,none
parallel_tracker,249,208289176250400,1784531619067552400,4.6978915,align,3.6219430759196367,3.717838095522854,11.63985583529949,10.723509468279076,8.017912759379854,2.213704796380338,1.4487772303678548,none
parallel_tracker,250,208289204182400,1784531619095489100,4.7258235,commit,3.5778994961424804,3.6819987857239855,11.549382921246444,10.637054644009838,7.971483425103964,2.227978576172538,1.4311597984569921,none
parallel_tracker,251,208289238979800,1784531619130649600,4.7606209,commit,3.457575804913546,3.6384312776109144,11.122429466637549,10.060559077044433,7.664853661724003,2.2168288113398735,1.3830303219654185,none
parallel_tracker,252,208289273895400,1784531619164827300,4.7955365,commit,2.8202213762327615,3.6174871700570295,4.327907067958231,3.8848067976425833,1.5076856917254693,0.5345983490627352,1.1280885504931046,none
parallel_tracker,272,208289940359800,1784531619831266500,5.4620009,commit,3.151952038835872,3.2363960579604933,11.39069167557621,9.254690341407619,8.238739636740338,2.6138531091936277,1.260780815534349,certified
parallel_tracker,278,208290141702700,1784531620032606300,5.6633438,commit,2.737730104831294,2.830340101471115,10.87643374421816,8.495247698942212,8.138703639386865,2.9727925426339254,1.0950920419325176,certified
parallel_tracker,279,208290176341800,1784531620067471600,5.6979829,commit,2.670044833117684,2.762834730278194,10.500812214973045,8.168228375401279,7.830767381855361,2.9328224323153957,1.0680179332470736,none
parallel_tracker,280,208290204074100,1784531620095081100,5.7257152,commit,2.59779367545686,2.685991122039684,10.321748020008865,7.989522533192809,7.723954344552006,2.9732747513882662,1.0391174701827441,none
parallel_tracker,281,208290238906400,1784531620129857900,5.7605475,commit,2.5351972413693855,2.619941191047521,10.502870216228729,8.06717255390438,7.967672974859344,3.1428217279676467,1.0140788965477543,none
parallel_tracker,282,208290273405700,1784531620164660200,5.7950468,commit,2.4925304132475854,2.5736108195571923,10.813743796536333,8.261671948764798,8.321213383288747,3.338460120310754,0.9970121652990342,none
parallel_tracker,283,208290307977200,1784531620199263700,5.8296183,commit,2.427524275987292,2.498852396258716,10.457554681331077,7.908532641973758,8.030030405343785,3.3079094140378524,0.9710097103949169,none
parallel_tracker,284,208290345788800,1784531620233944100,5.8674299,commit,2.3599327871947864,2.425853127142031,10.414632853643225,7.8244924178024355,8.054700066448438,3.4131057079904927,0.9439731148779146,none
parallel_tracker,285,208290371013100,1784531620261769300,5.8926542,commit,2.3052894694210444,2.367935498813376,10.596550379373413,7.911379495193051,8.291260909952369,3.596624640824241,0.9221157877684178,none
parallel_tracker,286,208290404846700,1784531620296485000,5.9264878,commit,2.235205868815628,2.2909456708770657,10.477235971966827,7.726776095055796,8.2420301031512,3.687369569908304,0.8940823475262513,none
parallel_tracker,288,208290474888500,1784531620365930600,5.9965296,commit,2.143251069282172,2.2056099394450306,9.668480970823111,6.92429478522932,7.525229901540939,3.511128495114353,0.8573004277128687,probation
parallel_tracker,289,208290511441100,1784531620400778300,6.0330822,commit,2.0700253009830356,2.1280277522474145,10.11835383099794,7.148385455114309,8.048328530014905,3.8880338932054737,0.8280101203932143,none
parallel_tracker,290,208290537129500,1784531620428605900,6.0587706,commit,2.008482971560357,2.055772609417935,10.182461817210497,7.103096524857878,8.17397884565014,4.069727730526843,0.8033931886241428,none
