idx,flight_id,gates_passed,finished,aborted,abort_reason,duration_s,lap_time_s,gate_clips,env_hits,overrun_frac,score,best_so_far,param_hash,log_dir,term_rows,engaged_rows,ready_rows,owner_term_rows,applied_rows,applied_while_not_ready_rows,param.planner.terminal.margin_m,param.planner.terminal.engage_range_m,param.planner.align.max_dz_m,param.control.att_rate.vel_p,param.control.att_rate.vel_i,param.control.att_rate.vz_p,param.control.att_rate.vz_i,param.control.att_rate.tilt_max_rad,param.control.att_rate.hover_thrust
22,20260719T191702-a4b8f0f6,1,False,True,environment collision (impulse=4.5),26.844000000011874,,0,1,0.7463646104393081,-122.68440000000119,188.12499999999994,a4b8f0f6905ff1372cd6925a07e05eef07400f838d4507d2781d62c9aa349e66,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191702-a4b8f0f6,462,146,0,0,0,0,0.4928001843804783,2.4838410062038596,0.40593974328843174,0.5436148108615662,0.13822262029366963,0.814576574584396,0.5641721322096485,0.5342332626348315,0.5291017971890658
23,20260719T191732-7f6107b5,1,False,True,environment collision (impulse=1.6),48.812999999994645,,0,1,0.7468375499334221,-124.88129999999947,188.12499999999994,7f6107b5a158865c6be1953b8a45ba84a3a265acb9249d3daaffd1909dd320c1,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191732-7f6107b5,1275,186,715,0,0,0,0.5002874319383986,2.364311747788828,0.4044735472001551,0.19973330290288907,0.1324741685324631,0.8199235404116323,0.4327772878089784,0.516062379932074,0.4703233980528085
24,20260719T191824-130febad,2,True,False,,11.280999999988126,10.203000000000088,0,0,0.7471006359895249,189.7969999999999,189.7969999999999,130febad3c3263af2ab96ee78583e42795c2b056f58ffadf18ab30fa2fe64a79,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191824-130febad,208,82,0,0,0,0,0.467747228306376,2.45141347066278,0.4855650970120281,0.5860590512868975,0.1355089905524141,0.7029585629358039,0.8,0.5489551774887438,0.513245487740746
25,20260719T191838-7343a4d7,0,False,True,environment collision (impulse=2.0),5.032000000006519,,0,1,0.747588424437299,-220.50320000000065,189.7969999999999,7343a4d7efda04fa54e5de44b1d492662e1806e6105db443781ae8a4536dea15,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191838-7343a4d7,2,0,0,0,0,0,0.47270846309569353,2.3948192728407305,0.44636365498161557,0.58642159511237,0.1429710726010061,0.7119255445243506,0.5297237174830126,0.5321939006180713,0.5615359128562195
26,20260719T191846-def5c2c8,0,False,True,environment collision (impulse=1.5),9.905999999988126,,1,2,0.7471169686985173,-260.99059999999884,189.7969999999999,def5c2c808208314bfa260fa1620f2a3b8a561c830976a1ac295e59bcb2509f0,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191846-def5c2c8,76,65,0,0,0,0,0.452320883294327,2.5038567371431535,0.41830821059894285,0.5767625737338617,0.1794064849193979,0.7819154339653498,0.6818354855473624,0.5141809395540033,0.5362090153237499
27,20260719T191858-99e360c4,0,False,True,environment collision (impulse=1.3),4.421999999991385,,0,1,0.7432808155699722,-220.44219999999913,189.7969999999999,99e360c41b52267a052ffcd0be448e52bac252d3348335342f7b6206987f9ab4,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191858-99e360c4,0,0,0,0,0,0,0.46567353422751784,2.417220056283458,0.46986258390097513,0.6,0.14584482900453968,0.7728669395202974,0.6391804185259776,0.4930871161506456,0.551357929227053
28,20260719T191905-5d6edd75,0,False,True,max duration,60.01500000001397,,0,1,0.7450596884062858,-226.00150000000139,189.7969999999999,5d6edd75c36277f632ac47c747ec2c6e13c09ab335a2c990af55f4863295d90b,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T191905-5d6edd75,203,78,6,0,0,0,0.45993576792430607,2.5085624878302473,0.38842487241230783,0.6,0.13115571858885175,0.7270819093980686,0.4674014364309065,0.5537933037407982,0.5264568909458669
29,20260719T192008-2ba47ecf,1,False,True,environment collision (impulse=2.7),18.765999999974156,,1,1,0.7483141179029802,-141.8765999999974,189.7969999999999,2ba47ecfa736c149da2c7b34af76b085285edb5ad60a397d97bec5b37c5d6935,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192008-2ba47ecf,363,86,0,0,0,0,0.45933920507744175,2.3133755245509984,0.3788024721918588,0.5973472135121299,0.144877170795719,0.8189895151071968,0.74251278095961,0.5492906509782065,0.5155184973493337
30,20260719T192030-73da7028,0,False,True,environment collision (impulse=1.9),46.23399999999674,,1,3,0.7486654804270463,-284.62339999999966,189.7969999999999,73da70281b80c2375bbc68fe39024fed67936b8ef689726d4096305feb7cad82,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192030-73da7028,1148,141,385,0,0,0,0.4916699454897022,2.4471654817201354,0.45206360345133373,0.5802051429306927,0.11735470988167643,0.8114446207230516,0.6782150006065676,0.5725008082198039,0.5195534798583912
31,20260719T192119-7700ef04,0,False,True,environment collision (impulse=1.4),17.953000000008615,,0,2,0.7497672253258846,-241.79530000000085,189.7969999999999,7700ef04e84d452b770d0014f2312790c667d4297271d72c556f9602cedfa10a,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192119-7700ef04,312,141,14,0,0,0,0.45428594318727666,2.509102900414409,0.4065690246694823,0.5917182322751231,0.13290006167878385,0.7888731418337243,0.5308336803660816,0.5346791353611049,0.5241674395426946
32,20260719T192140-877e92d6,0,False,True,environment collision (impulse=71.0),53.437999999994645,,0,2,0.7457367897835895,-245.34379999999948,189.7969999999999,877e92d655be56d6bc73d4c7ea72899a5532fb0e4d72a95a8178045ccd3714b3,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192140-877e92d6,243,4,14,0,0,0,0.4581868339937738,2.2779459113066607,0.39902614706748135,0.5938591032614711,0.14161686798830433,0.8305201028008028,0.6373683587004769,0.5298832164000952,0.5405315800566266
33,20260719T192236-21beb97b,0,False,True,environment collision (impulse=1.4),4.312999999994645,,0,1,0.743421052631579,-220.43129999999945,189.7969999999999,21beb97b52e71eb1286e3698b1f78d956c6f75d6ab76a5f9b518521dc82e7435,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192236-21beb97b,0,0,0,0,0,0,0.4710810149880402,2.3068517689053296,0.4909573491084936,0.5899846683822175,0.15560187177842388,0.7506240539871128,0.6535446536520306,0.5705258187365658,0.5201613257018668
34,20260719T192244-8c9f9157,0,False,True,environment collision (impulse=2.6),5.6710000000020955,,0,1,0.7485754985754985,-220.5671000000002,189.7969999999999,8c9f91573ce504ca867da1cd6860aa403f86ac9425e037976c590c03f146e3b6,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192244-8c9f9157,5,0,0,0,0,0,0.4959580956870216,2.4045913709655586,0.49129857446656855,0.5841954064542656,0.12992806419419992,0.8151812769285018,0.7457329620617559,0.5130483970669302,0.5255419284356158
35,20260719T192252-f7fd18b9,1,False,True,environment collision (impulse=5.7),19.921999999991385,,1,1,0.7462229481420988,-141.99219999999914,189.7969999999999,f7fd18b9aab789f37d4bf69cd602f568cfb0a5705c3c8a4d73e0e755e6a65938,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192252-f7fd18b9,319,126,133,0,0,0,0.4642592265837234,2.3613267622175527,0.4358577711636475,0.5878330459608794,0.18016504935725244,0.7544025250953648,0.6798877839822947,0.5231730895207604,0.5333220490412506
36,20260719T192315-e8d9a93e,0,False,True,environment collision (impulse=16.4),35.75,,0,3,0.7458087902129588,-263.575,189.7969999999999,e8d9a93e0dff25d3134ebf86abed7994784cd486d053df03324086195c41502b,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192315-e8d9a93e,159,107,0,0,0,0,0.4380597355617045,2.339490294928018,0.3814683865741855,0.5835242722650997,0.140038300407755,0.7992719599752914,0.6854954014044445,0.5599184289674959,0.5533039159629657
37,20260719T192353-bbdbd49a,0,False,True,environment collision (impulse=2.0),10.078000000008615,,0,4,0.7465419039869813,-281.0078000000009,189.7969999999999,bbdbd49a84128f1895513176915aee8d7e0f560ed93e1898173ffcacb317ccdd,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192353-bbdbd49a,26,6,0,0,0,0,0.4511453292635693,2.28855329038699,0.49521339132832337,0.5931336766918381,0.13338550204038901,0.9060810572791089,0.7245508870471418,0.5109071045877633,0.49926721284468023
38,20260719T192406-41d63c6d,0,False,True,environment collision (impulse=2.6),15.062000000005355,,0,2,0.745124593716143,-241.50620000000055,189.7969999999999,41d63c6d8f53a425e6f8544300128c3c09ef75f9decabdb38e6b5d1e44c4db6b,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192406-41d63c6d,159,81,23,0,0,0,0.4660482860217311,2.202807327588905,0.3956979817264242,0.5961959685528541,0.15300003370766493,0.7989166359212005,0.6475895126629245,0.5382610217270114,0.5210875740735125
39,20260719T192424-2d4e4816,0,False,True,environment collision (impulse=1.9),5.985000000015134,,0,1,0.7434695244474213,-220.5985000000015,189.7969999999999,2d4e481676858b71dfa28a28dd5cee9ac1400e10fb86b7b5b62241dad65005e6,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192424-2d4e4816,0,0,0,0,0,0,0.4610914739315357,2.3957059139514043,0.40706028261766947,0.5642745078047912,0.12860937504570383,0.7868212350460644,0.6113862112984252,0.48663110433529494,0.54356920376966
40,20260719T192433-95521a4f,0,False,True,environment collision (impulse=1.6),13.202999999979511,,0,1,0.7470027666769136,-221.32029999999796,189.7969999999999,95521a4f0389129c30733528d8a380cca4f6ea54a838093e308c7dd82b1d01d9,C:\Users\tsion\Projects\eni_dcim_qa\tuning\runtime-logs\terminal-campaign-23813aa-20260719T190817Z\20260719T192433-95521a4f,220,85,69,0,0,0,0.4995832148237653,2.3141252123400378,0.34447173211429893,0.5893781808388715,0.14749911035544483,0.7749604238887051,0.7021863459866685,0.5411771537620228,0.4970514801923265
