series,config,run,fixture_dir,flight_id,line_no,detection_mono_ns,state_mono_ns,state_detection_dt_s,range_m,true_world_dz_m,center_px_x,center_px_y,cert_status
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1511,406211220683000,406211203321200,0.017362,6.100946,-1.253768,322.250000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1525,406211255143700,406211242781300,0.012362,6.056920,-1.237268,322.500000,176.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1540,406211292545900,406211282858000,0.009688,6.080082,-1.245684,322.000000,176.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1557,406211327876600,406211322849400,0.005027,6.011857,-1.222520,321.750000,176.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1568,406211359472300,406211342805500,0.016667,6.003051,-1.219530,322.500000,176.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1582,406211389518100,406211382823400,0.006695,6.030820,-1.237129,322.000000,175.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1597,406211427349000,406211423137900,0.004211,6.043166,-1.234636,321.500000,176.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1608,406211453024800,406211442751500,0.010273,6.027738,-1.279041,321.500000,175.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1622,406211485444200,406211483092900,0.002351,6.178057,-1.350146,321.500000,173.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1639,406211526736000,406211522809700,0.003926,5.899447,-1.295768,319.750000,173.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1649,406211549874500,406211543461200,0.006413,6.178057,-1.350200,321.500000,173.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1664,406211585639300,406211582740700,0.002899,6.171671,0.594644,321.000000,172.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1681,406211624414100,406211623071100,0.001343,6.106273,0.522107,321.500000,165.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1691,406211654284500,406211642699300,0.011585,6.276919,0.590785,322.000000,172.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1707,406211696848800,406211682707600,0.014141,6.298848,0.599371,320.500000,190.750000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1718,406211717831300,406211702698900,0.015132,6.388665,0.691230,320.500000,205.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1733,406211753170200,406211743033700,0.010136,5.960999,0.551626,319.250000,223.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1748,406211793218400,406211782710800,0.010508,6.275906,0.642941,322.500000,242.000000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1761,406211822419800,406211803044200,0.019376,6.259897,0.781066,322.500000,255.500000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1775,406211860410500,406211843088300,0.017322,6.044447,0.814018,321.250000,266.250000,certified
R1f,A,1,20260722T141240-raceprep-r1f-A-run1,20260722T141216-b1a8389a,1788,406211888920100,406211883068600,0.005851,6.204922,1.282026,320.750000,241.250000,certified
