phase,flight_id,attempt_n,closest_dist_m,t_closest_s,miss_lateral_m,miss_vertical_cam_ty,miss_vertical_phantom_dz,miss_vertical_true_dz,phantom_delta_m,old_label,true_label,reattributed,level_pitch,gate_rel_age_s,ended_retreat,gates_passed,result
20260716T023148,20260715T213225-8edfeec4,1,0.7198620219561636,24.1832762,-0.12074770248961694,-0.05108028615561595,0.018164437370577234,0.23622487701500108,-0.21806043964442384,CENTERED,HIGH,CENTERED->HIGH,-0.3106763390267429,1.20807308,True,0,environment collision (impulse=2.5)
20260716T023148,20260715T213406-fc86a160,1,0.20896223969713767,23.2591232,0.016514873462880535,0.05970241422290874,0.06920104890980032,0.12601615962621446,-0.05681511071641414,CENTERED,CENTERED,same,-0.31068118152335406,1.200610688,True,0,environment collision (impulse=25.5)
20260716T023148,20260715T213406-fc86a160,2,3.3678852955350633,27.9989972,-0.29210933533030997,-0.03433013978391631,0.7623910757057273,1.6748191915360613,-0.912428115830334,CENTERED,HIGH,CENTERED->HIGH,-0.31068118152335406,1.197340176,False,0,environment collision (impulse=25.5)
20260716T023148,20260716T022502-8edfeec4,1,1.3298283865984961,24.0990755,-0.8823416296991058,-0.4856166157387151,-0.3693697102745351,-0.07443385289429544,-0.29493585738023964,LOW,CENTERED,LOW->CENTERED,-0.3107077672744118,0.22669928,True,0,environment collision (impulse=7.6)
20260716T115732,20260716T031114-8edfeec4,1,1.554743244735217,23.4249125,0.009006879332567675,0.06035192687542232,0.1841948851690824,0.6472680843328463,-0.46307319916376394,CENTERED,HIGH,CENTERED->HIGH,-0.31069611557834503,1.194805648,True,0,environment collision (impulse=1.3)
20260716T115732,20260716T113216-8edfeec4,1,1.2311557654306196,28.5970955,-0.0892432494707389,0.19351417196935533,0.2825371311388597,0.6353177159762904,-0.3527805848374307,HIGH,HIGH,same,-0.3106731260844418,1.474511472,True,0,environment collision (impulse=1.5)
20260716T115732,20260716T114244-8edfeec4,1,2.2452410550229343,19.5045465,-0.00011298503714582799,0.16910826452344585,0.2535355932154617,0.9228507556956762,-0.6693151624802145,HIGH,HIGH,same,-0.31067426303512763,1.211562392,False,0,environment collision (impulse=1.3)
20260716T132549,20260716T130659-8edfeec4,1,0.8871688081776545,27.0672083,-0.13460592310975977,0.13226682114371335,0.19634612051668998,0.4405405553955255,-0.24419443487883552,CENTERED,HIGH,CENTERED->HIGH,-0.3106876136923918,1.19427296,True,0,environment collision (impulse=1.6)
20260716T132549,20260716T131137-2ca531c3,1,0.10285874582309801,26.2251324,0.0056548536181750455,0.10024239287190073,0.10221102859254001,0.10067260016849525,0.001538428424044766,CENTERED,CENTERED,same,-0.31072596054054946,1.081753008,True,1,environment collision (impulse=15.5)
20260716T132549,20260716T131630-8edfeec4,1,1.371324708602479,27.7507914,0.0704478841224067,-0.3628647317662434,-0.30129483404291185,0.12201980926870332,-0.42331464331161517,LOW,CENTERED,LOW->CENTERED,-0.3106758464115669,0.074478336,True,0,stale channels: frame
20260716T132549,20260716T131802-8edfeec4,1,2.127236134233661,26.3538383,0.027402541123046766,0.1624312341190885,0.27079943079280316,0.8930805702476348,-0.6222811394548315,HIGH,HIGH,same,-0.3107040321052472,1.19535452,False,0,environment collision (impulse=5.0)
20260716T132549,20260716T131802-8edfeec4,2,4.262786917425408,32.1341015,-0.13497985344929242,0.27077547473888386,0.09201073008278501,-0.4430683490557147,0.5350790791384997,HIGH,LOW,HIGH->LOW,-0.3107040321052472,1.2132688,False,0,environment collision (impulse=5.0)
20260716T135229,20260716T133531-927a4c97,1,1.1963884958511386,26.2424747,0.07126146935012352,0.19865337598533162,0.30314256862853206,0.641452680464636,-0.33831011183610393,HIGH,HIGH,same,-0.31067579341238744,1.18889644,True,0,environment collision (impulse=1.6)
20260716T135229,20260716T134309-927a4c97,1,2.982057984620541,26.9263069,-0.6445285902897245,-0.2231790045661351,0.17024090539244338,1.066216804555621,-0.8959758991631777,LOW,HIGH,LOW->HIGH,-0.3107008650706391,0.903611136,True,0,environment collision (impulse=1.6)
20260716T135229,20260716T134309-927a4c97,2,2.7263653653386597,30.1069371,-0.04761226239509707,-1.7640848250665127,-0.8017859812424186,-0.12996150154653485,-0.6718244796958838,LOW,CENTERED,LOW->CENTERED,-0.3107008650706391,1.266822768,False,0,environment collision (impulse=1.6)
20260716T135229,20260716T134842-927a4c97,1,0.3065569817099087,26.9346816,-0.06464496748622447,0.20630389362010418,0.21276636900379672,0.26823499542329193,-0.05546862641949521,HIGH,HIGH,same,-0.3106950313717507,1.181861128,True,0,environment collision (impulse=1.7)
20260716T135229,20260716T134842-927a4c97,2,1.2723026644704833,28.6352274,0.9539762920073018,-0.41992876616793406,-0.147218269054433,-0.20694963993372711,0.059731370879294116,LOW,LOW,same,-0.3106950313717507,0.348466968,True,0,environment collision (impulse=1.7)
20260716T135229,20260716T134842-927a4c97,3,1.185362048221553,33.535027,-0.6585207772561165,-0.5393824938299198,-0.5441878345951644,-0.24231500594309419,-0.3018728286520702,LOW,LOW,same,-0.3106950313717507,0.555028352,True,0,environment collision (impulse=1.7)
20260716T144305,20260716T143604-927a4c97,1,0.3886598907220732,26.0905002,-0.037715841032632126,0.13785152444003956,0.16977476847284848,0.268361408207872,-0.09858663973502355,CENTERED,HIGH,CENTERED->HIGH,-0.31070620707831004,1.264278528,True,0,environment collision (impulse=3.7)
20260716T144305,20260716T143604-927a4c97,2,0.13631414365889225,31.2903367,-0.13162663662820823,0.03527961902860331,0.059187142121218006,0.04854461052617312,0.010642531595044885,CENTERED,CENTERED,same,-0.31070620707831004,0.867333576,True,0,environment collision (impulse=3.7)
20260716T144305,20260716T143739-927a4c97,1,0.0934368894459485,26.6866172,-0.08226785991983977,0.039006898615790805,0.04998517081390576,0.04133003157895632,0.008655139234949441,CENTERED,CENTERED,same,-0.31069023517911576,1.087306312,True,0,environment collision (impulse=4.0)
20260716T144305,20260716T143739-927a4c97,2,2.116602811419588,31.2266207,-0.21970657960839166,-0.8401181998421504,0.650626096446422,0.7583896747790142,-0.1077635783325922,LOW,HIGH,LOW->HIGH,-0.31069023517911576,1.482835272,False,0,environment collision (impulse=4.0)
20260716T144305,20260716T143915-927a4c97,1,0.5708107405935128,25.5863875,-0.3393350910937149,0.16854930256482017,0.257198907530776,0.3765468521498391,-0.11934794461906306,HIGH,HIGH,same,-0.31066199658629606,1.457948088,True,0,environment collision (impulse=13.4)
20260716T145727,20260716T143604-927a4c97,1,0.3886598907220732,26.0905002,-0.037715841032632126,0.13785152444003956,0.16977476847284848,0.268361408207872,-0.09858663973502355,CENTERED,HIGH,CENTERED->HIGH,-0.31070620707831004,1.264278528,True,0,environment collision (impulse=3.7)
