flight_id,attempt_n,t_closest_s,t_lastfix_s,R_closest_m,R_lastfix_m,phantom_dz,true_dz,gap_height_believed_minus_true,age_s,old_label,true_label
20260716T165306-927a4c97,1,49.7216853,49.0559375,0.03450142988516941,2.0235463923044774,0.19968188034954804,0.8028604004409974,0.6031785200914493,0.679599008,CENTERED,CENTERED
20260716T165535-927a4c97,1,49.7833535,48.7332872,0.06174039453165481,3.170214657965246,0.9485694768768312,1.8252673135432154,0.8766978366663841,1.0602176,CENTERED,CENTERED
20260716T203450-2ca531c3,1,7.7649991,7.2893091,0.030753529518360436,1.5027418095499494,-0.019778827884989636,0.43642368066316806,0.4562025085481577,0.492724432,CENTERED,CENTERED
20260716T212408-2ca531c3,1,7.5228559,7.4906006,1.9781088268446971,2.9415428309390332,-1.8163493047715646,-1.1679397226412647,0.6484095821303,0.943670488,HIGH,HIGH
20260717T090941-debf3ec1,1,7.8430204,6.5648237,0.04076349410133332,3.75312954180368,0.598454907929118,1.6676505129518853,1.0691956050227671,1.280750744,CENTERED,CENTERED
20260717T091107-debf3ec1,1,8.125343,6.9427891,0.3103637400226387,3.6941037885793695,1.294258056480698,2.289852604866935,0.995594548386237,1.17896644,CENTERED,HIGH
20260717T091107-debf3ec1,2,11.9255532,11.6996748,3.5061872059248897,2.6198556401713247,-2.0778637628960794,-1.7195805318526962,0.3582832310433832,1.21248532,LOW,LOW
20260717T091239-debf3ec1,1,8.2641308,8.2742042,0.6874427260126161,0.8802314516770792,0.08886998163122208,0.3190534945667565,0.23018351293553446,0.094553312,CENTERED,HIGH
20260717T095722-a560c093,1,7.6632263,7.6666135,0.4849260775858523,1.5766161632017166,-0.4713243968800293,-0.06191093925337415,0.40941345762665515,0.78478048,CENTERED,HIGH
20260717T095722-a560c093,2,12.4031037,11.4251202,0.9704353754143438,4.033590023212231,1.2046585769656362,1.8669916346929916,0.6623330577273554,0.973196832,HIGH,HIGH
20260717T095851-a560c093,1,7.6209843,6.4109263,0.8448936538673332,4.380859016371626,0.9934680847974435,2.235729738466756,1.2422616536693123,1.208940808,CENTERED,HIGH
20260717T100017-a560c093,1,7.9050299,6.7076901,0.057276914761926166,3.705093905966331,0.3610397033460884,1.4573575274290969,1.0963178240830085,1.197264424,CENTERED,CENTERED
20260717T101837-7223cc0c,1,8.9838363,8.4978193,0.13966756455105248,4.175267009845017,0.2974819952215889,1.1847371168089071,0.8872551215873182,1.041795168,CENTERED,CENTERED
20260717T102007-7223cc0c,1,7.6642083,6.4360246,0.06601776350408291,3.6987907302533616,0.46010115259721407,1.5554833025487749,1.0953821499515608,1.23161176,CENTERED,CENTERED
20260717T102007-7223cc0c,2,12.184609,12.0080192,1.2431711702233292,1.8892391569160163,-1.1032643359827197,-1.319787688737979,-0.21652335275525925,0.180998528,LOW,LOW
20260717T102132-7223cc0c,1,7.6627285,6.4425305,1.1439560709393566,4.9829326400059974,1.3182221438433908,2.704629181363653,1.3864070375202624,1.183305624,CENTERED,HIGH
20260717T102132-7223cc0c,3,17.1425524,16.4723792,1.212900255580642,3.630858328251613,-2.6418312722078277,-2.5291888419331334,0.11264243027469423,0.66471204,LOW,LOW
20260717T142306-7223cc0c,1,7.9442387,6.8552165,0.06875116601886012,3.0348158248162402,0.7766900711506868,1.6364184850445114,0.8597284138938246,1.10256096,CENTERED,CENTERED
20260717T142306-7223cc0c,2,11.2042481,10.5498308,3.0387776336073373,4.4424406931605525,2.564828572088025,3.3501434023666388,0.7853148302786139,0.64802512,HIGH,HIGH
20260717T142426-7223cc0c,1,7.2223866,6.4125592,0.043947958406413704,4.878505954457359,-0.1645614915038156,1.3287212225948615,1.493282714098677,1.008247752,CENTERED,CENTERED
20260717T142546-7223cc0c,1,7.7246443,6.3465216,0.04912238727758401,4.325744776288651,0.6237282188825527,1.8730354332816281,1.2493072143990753,1.365125976,CENTERED,CENTERED
20260717T151002-a9753343,1,7.9044602,6.9875087,0.03905278153018183,2.7225286129367197,0.30845618247983037,1.119522950660369,0.8110667681805386,0.927060544,CENTERED,CENTERED
20260717T151126-a9753343,1,8.2451058,7.1816766,0.09433967827924068,3.1713136003649556,0.5970744846599109,1.520711598889923,0.923637114230012,1.057203512,CENTERED,CENTERED
20260717T151254-e179e097,1,7.9453953,6.9416776,0.07552587890227556,2.94865643236248,0.06138687191652209,0.9511841025336071,0.8897972306170849,1.014559392,CENTERED,CENTERED
20260717T151254-e179e097,2,10.4862463,9.2663842,1.9173802441425916,3.3927628084572232,-0.38094988964427395,0.662751105255823,1.043700994900097,1.219804344,LOW,HIGH
20260717T151717-e179e097,1,8.4443177,7.9811684,0.024927387698968594,1.3564982275969342,0.026425184302422702,0.4370761660308912,0.41065098172846853,0.478019096,CENTERED,CENTERED
20260717T151717-e179e097,2,13.6241839,8.7034283,4.330587308599668,6.39029237062226,-1.0553568272573846,0.5474123431968664,1.602769170454251,1.47716796,LOW,HIGH
20260717T153048-927a4c97,1,8.3648123,7.207987,0.025390075611387508,3.033428751855338,0.22459363002998467,1.1386841337699485,0.9140905037399638,1.167730256,CENTERED,CENTERED
20260717T153307-927a4c97,1,7.6851793,7.6851793,0.766486781313263,0.766486781313263,0.3699366609438709,0.5573349374384654,0.1873982764945945,1.479787416,HIGH,HIGH
20260719T080255-fab49fbf,1,15.0851337,15.0936273,3.3523320417696945,1.0317306608374375,-0.6362735053434607,-0.838632717086025,-0.20235921174256433,0.086733472,LOW,LOW
