flight,cluster_id,anchor_frame_id,anchor_ts_s,age_s,age2_s2,age_bin,anchor_n,anchor_span_s,anchor_authority,anchor_v_mps,oracle_v_mps,r_v_mps,rv2_m2ps2
F2,F2:pseudo_full_only,198,1784531476.6257153,0.2,0.04000000000000001,0p20-0p30,8,0.22906494140625,0.61083984375,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,198,1784531476.6257153,0.3,0.09,0p30-0p40,8,0.22906494140625,0.61083984375,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,198,1784531476.6257153,0.4,0.16000000000000003,0p40-0p50,8,0.22906494140625,0.61083984375,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,198,1784531476.6257153,0.5,0.25,gt0p50,8,0.22906494140625,0.61083984375,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,199,1784531476.6604826,0.1,0.010000000000000002,0p10-0p20,9,0.26383233070373535,0.791496992111206,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,199,1784531476.6604826,0.2,0.04000000000000001,0p20-0p30,9,0.26383233070373535,0.791496992111206,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,199,1784531476.6604826,0.3,0.09,0p30-0p40,9,0.26383233070373535,0.791496992111206,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,199,1784531476.6604826,0.4,0.16000000000000003,0p40-0p50,9,0.26383233070373535,0.791496992111206,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,199,1784531476.6604826,0.5,0.25,gt0p50,9,0.26383233070373535,0.791496992111206,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,200,1784531476.6950898,0.1,0.010000000000000002,0p10-0p20,10,0.29843950271606445,0.9947983423868816,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,200,1784531476.6950898,0.2,0.04000000000000001,0p20-0p30,10,0.29843950271606445,0.9947983423868816,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,200,1784531476.6950898,0.3,0.09,0p30-0p40,10,0.29843950271606445,0.9947983423868816,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,200,1784531476.6950898,0.4,0.16000000000000003,0p40-0p50,10,0.29843950271606445,0.9947983423868816,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,200,1784531476.6950898,0.5,0.25,gt0p50,10,0.29843950271606445,0.9947983423868816,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,201,1784531476.7300737,0.1,0.010000000000000002,0p10-0p20,11,0.333423376083374,1.0,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,201,1784531476.7300737,0.2,0.04000000000000001,0p20-0p30,11,0.333423376083374,1.0,-0.0,-0.0,0.0,0.0
F2,F2:pseudo_full_only,201,1784531476.7300737,0.3,0.09,0p30-0p40,11,0.333423376083374,1.0,-0.0,-0.0,0.0,0.0
