L_ticks,tau_s,g,n_rows,sse,mse,rms_mps
0,0.24,1.4500000000000002,13,0.0658311775556448,0.0050639367350496,0.07116134298233558
0,0.24,1.5,13,0.07044953602863292,0.00541919507912561,0.07361518239551954
0,0.26,0.5,13,0.006748763282201411,0.0005191356370924163,0.022784548209091534
0,0.26,0.55,13,0.00816600357146371,0.0006281541208818238,0.02506300303000069
0,0.26,0.6000000000000001,13,0.009718219126370038,0.0007475553174130799,0.02734145785090985
0,0.26,0.65,13,0.011405409946920388,0.0008773392266861837,0.029619912671818998
0,0.26,0.7000000000000001,13,0.013227576033114767,0.001017505848701136,0.031898367492728154
0,0.26,0.75,13,0.015184717384953177,0.0011680551834579367,0.034176822313637306
0,0.26,0.8,13,0.017276834002435616,0.001328987230956586,0.03645527713454646
0,0.26,0.8500000000000001,13,0.019503925885562087,0.0015003019911970837,0.03873373195545562
0,0.26,0.9,13,0.02186599303433258,0.001681999464179429,0.04101218677636477
0,0.26,0.9500000000000001,13,0.02436303544874709,0.0018740796499036223,0.04329064159727391
0,0.26,1.0,13,0.026995053128805645,0.002076542548369665,0.04556909641818307
0,0.26,1.05,13,0.029762046074508226,0.002289388159577556,0.04784755123909223
0,0.26,1.1,13,0.03266401428585484,0.002512616483527295,0.05012600606000138
0,0.26,1.1500000000000001,13,0.03570095776284547,0.0027462275202188827,0.05240446088091054
0,0.26,1.2000000000000002,13,0.03887287650548015,0.0029902212696523195,0.0546829157018197
0,0.26,1.25,13,0.042179770513758826,0.003244597731827602,0.056961370522728844
0,0.26,1.3,13,0.04562163978768155,0.003509356906744735,0.059239825343637996
0,0.26,1.35,13,0.049198484327248285,0.003784498794403714,0.06151828016454714
0,0.26,1.4000000000000001,13,0.05291030413245907,0.004070023394804544,0.06379673498545631
0,0.26,1.4500000000000002,13,0.05675709920331388,0.004365930707947221,0.06607518980636545
0,0.26,1.5,13,0.06073886953981271,0.004672220733831747,0.06835364462727461
0,0.28,0.5,13,0.005878066958246529,0.00045215899678819455,0.02126403058660786
0,0.28,0.55,13,0.007112461019478302,0.0005471123861137155,0.023390433645268646
0,0.28,0.6000000000000001,13,0.008464416419875003,0.0006511089553750003,0.025516836703929433
0,0.28,0.65,13,0.009933933159436633,0.0007641487045720487,0.027643239762590213
0,0.28,0.7000000000000001,13,0.0115210112381632,0.0008862316337048616,0.029769642821251007
0,0.28,0.75,13,0.013225650656054688,0.0010173577427734376,0.03189604587991179
0,0.28,0.8,13,0.015047851413111112,0.0011575270317777779,0.03402244893857257
0,0.28,0.8500000000000001,13,0.01698761350933248,0.001306739500717883,0.03614885199723337
0,0.28,0.9,13,0.019044936944718757,0.0014649951495937506,0.03827525505589415
0,0.28,0.9500000000000001,13,0.021219821719269973,0.0016322939784053825,0.040401658114554935
0,0.28,1.0,13,0.023512267832986117,0.0018086359871527782,0.04252806117321572
0,0.28,1.05,13,0.025922275285867193,0.0019940211758359377,0.0446544642318765
