series,label,config,run,flight_id,fixture,sample_kind,is_grinding_flight,mono_ns,collision_id,collision_kind,threat_level,impulse,planner_phase,v_body,v_body_x,v_body_y,v_body_z,gate_index_proxy,det_age_s,det_cert,range_z_m,tx_m,ty_cam_m,true_world_dz_m,center_x_px,center_y_px,hit_class,abort_reason,env_hits_total,gate_clips_total,gates_passed,duration_s
r1b,r1b-A-run5,A,5,20260722T035756-49b2dfca,20260722T035813-raceprep-r1b-A-run5,abort_collision,False,369356414224400,1001,gate,1,0.07601366192102432,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0468252,none,,,,,,,gate_OPENING_or_UNSPECIFIED,gate clip budget exceeded (11),0,11,0,7.66398820001632
r1b,r1b-B-run6,B,6,20260722T035907-af44e079,20260722T035929-raceprep-r1b-B-run6,abort_collision,False,369432336121600,1002,environment,2,4.206220626831055,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0706499,none,21.584775623706555,2.3346296738211274,1.1727864355623885,10.465084823555983,354.6115015808754,197.38686868571298,env_FAR_STRUCTURE_or_hangar,environment collision (impulse=4.2),19,6,0,12.275984500010964
r1b,r1b-A-run7,A,7,20260722T040023-49b2dfca,20260722T040042-raceprep-r1b-A-run7,abort_collision,False,369505213049700,1002,environment,2,1.2074652910232544,commit,"[0.8039818741822771, -1.1174628992838924, -0.35]",0.8039818741822771,-1.1174628992838924,-0.35,0,0.0751194,none,2.47369720579649,-1.5921335656526334,-4.392353179468535,0.03374481909425908,114.03997392445709,-388.1992986596621,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=1.2),1,0,0,9.372192799986806
r1b,r1b-B-run8,B,8,20260722T040136-af44e079,20260722T040157-raceprep-r1b-B-run8,abort_collision,False,369580259949900,1002,environment,2,8.568672180175781,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,0,,,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=8.6),1,0,0,11.60399419994792
r1b,r1b-A-run9,A,9,20260722T040251-49b2dfca,20260722T040309-raceprep-r1b-A-run9,abort_collision,False,369652413182100,1002,environment,2,3.5206756591796875,retreat,"[-1.2, 0.0, -0.2]",-1.2,0.0,-0.2,0,0.0076666,certified,2.7034756635399453,-0.38281698870465486,-1.7253159746863376,-1.0309792914297333,289.25,157.0,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=3.5),1,0,0,9.235305500042159
r1b,r1b-B-run10,B,10,20260722T040403-af44e079,20260722T040441-raceprep-r1b-B-run10,abort_collision,False,369743429728200,1002,environment,2,1.1686694622039795,approach,"[2.9624739937372184, 0.9334443638252501, -1.1355036403138252]",2.9624739937372184,0.9334443638252501,-1.1355036403138252,0,0.003947,certified,20.568759365208166,-6.354988398031073,-1.7077728909610648,-9.788736339229876,211.75,324.5,env_FAR_STRUCTURE_or_hangar,environment collision (impulse=1.2),3,0,0,27.956005999993067
r1c,r1c-A-run1,A,1,20260722T045939-25254d82,20260722T050003-raceprep-r1c-A-run1,abort_collision,False,373066036250200,1001,gate,1,0.005622840020805597,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0187315,certified,1.2319559007357201,-0.3935667324079232,-0.5181257986674518,0.46480144285215685,196.0,165.75,gate_TOP_bar,gate clip budget exceeded (11),0,11,0,14.73201410000911
r1c,r1c-B-run2,B,2,20260722T050128-d3d00a31,20260722T050155-raceprep-r1c-B-run2,abort_collision,False,373177924081400,1002,environment,2,6.316865921020508,align,"[0.4, 0.349351770816354, -0.8128088784337271]",0.4,0.349351770816354,-0.8128088784337271,0,0.0050137,none,0.8038966124582876,0.4617667355100226,-1.05828049894565,-0.7415162009521152,455.25679881459354,88.40172818349065,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=6.3),29,0,0,17.520018899987917
r1c,r1c-A-run3,A,3,20260722T050252-25254d82,20260722T050315-raceprep-r1c-A-run3,abort_collision,False,373258194127200,1002,environment,2,1.6686608791351318,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0201615,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.7),2,0,0,13.268088200013153
r1c,r1c-A-run5,A,5,20260722T050725-25254d82,20260722T050749-raceprep-r1c-A-run5,abort_collision,False,373531768514100,1002,environment,2,1.0779671669006348,search,"[0.0, 0.0, -0.0]",0.0,0.0,-0.0,1,0.2897217,none,,,,,,,env_NO_GATE_IN_VIEW,environment collision (impulse=1.1),2,0,1,14.016011499974411
r1c,r1c-B-run6,B,6,20260722T050847-d3d00a31,20260722T050908-raceprep-r1c-B-run6,abort_collision,False,373611320744800,1002,environment,2,1.29123854637146,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0213764,certified,0.646660458393091,0.18516860307365124,-0.4272014152667738,-0.3461946343864155,320.25,75.25,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=1.3),5,0,0,11.828010199998971
r1d,r1d-B-run1,B,1,20260722T054649-1d8b4339,20260722T054709-raceprep-r1d-B-run1,abort_collision,False,375891939723200,1002,environment,2,1.3160514831542969,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0120872,none,1.622857841798215,1.1141986564496678,-0.6541796883078875,-0.26298895231525843,509.8731002807617,228.86407279968262,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=1.3),2,4,0,9.969068100035656
r1d,r1d-B-run2,B,2,20260722T054806-1d8b4339,20260722T054828-raceprep-r1d-B-run2,abort_collision,False,375970772677800,1002,environment,2,8.551071166992188,commit,"[1.060677408797454, 0.5688025523901163, -1.2]",1.060677408797454,0.5688025523901163,-1.2,0,0.1549856,none,1.6424564576959544,0.9938582372227572,-1.761633659388187,-1.9684338457149742,457.2040481567383,57.8431396484375,env_NEAR_gate_LOW_likely_floor_or_bottom,environment collision (impulse=8.6),1,0,0,12.440320199995767
r1d,r1d-B-run3,B,3,20260722T054923-1d8b4339,20260722T054940-raceprep-r1d-B-run3,abort_collision,False,376043063376700,1001,gate,1,0.08089068531990051,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0,0.0373996,probation,5.448058703873071,-2.6022437180319713,-0.8299229136252697,5.569445959295401,157.9365868725858,302.55889975528237,gate_TOP_bar,gate clip budget exceeded (11),0,11,0,7.624014300003182
r1d,r1d-B-run4,B,4,20260722T055035-1d8b4339,20260722T055103-raceprep-r1d-B-run4,abort_collision,False,376126025499100,1002,environment,2,11.804844856262207,recover,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,1,0.0141313,none,0.49112038463799856,0.008398537278238666,-0.8106872775963443,-0.1727856572389036,325.472246750697,-348.2206500592454,env_NEAR_STRUCTURE_unspecified,environment collision (impulse=11.8),133,3,1,18.707989000016823
