flight_id,cohort,source_class,term_status_rows,term_status_owner_term_rows,shadow_owner_term_rows,shadow_up_range_mps,term_status_owner_values,path
20260715T213225-8edfeec4,fixtures/20260716T023148-phase3h-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T023148-phase3h-r2training\20260715T213225-8edfeec4-flight.jsonl
20260715T213406-fc86a160,fixtures/20260716T023148-phase3h-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T023148-phase3h-r2training\20260715T213406-fc86a160-flight.jsonl
20260716T022502-8edfeec4,fixtures/20260716T023148-phase3h-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T023148-phase3h-r2training\20260716T022502-8edfeec4-flight.jsonl
20260716T031114-8edfeec4,fixtures/20260716T115732-phase3i-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T115732-phase3i-r2training\20260716T031114-8edfeec4-flight.jsonl
20260716T113216-8edfeec4,fixtures/20260716T115732-phase3i-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T115732-phase3i-r2training\20260716T113216-8edfeec4-flight.jsonl
20260716T114244-8edfeec4,fixtures/20260716T115732-phase3i-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T115732-phase3i-r2training\20260716T114244-8edfeec4-flight.jsonl
20260716T115412-fc86a160,fixtures/20260716T115732-phase3i-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T115732-phase3i-r2training\20260716T115412-fc86a160-flight.jsonl
20260716T121026-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T121026-8edfeec4-flight.jsonl
20260716T121331-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T121331-8edfeec4-flight.jsonl
20260716T121635-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T121635-8edfeec4-flight.jsonl
20260716T121939-2ca531c3,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T121939-2ca531c3-flight.jsonl
20260716T122609-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T122609-8edfeec4-flight.jsonl
20260716T122932-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T122932-8edfeec4-flight.jsonl
20260716T123132-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T123132-8edfeec4-flight.jsonl
20260716T123403-8edfeec4,fixtures/20260716T123643-phase3j-r2training,none,0,0,0,,{},C:\Users\tsion\Projects\eni_dcim_qa\fixtures\20260716T123643-phase3j-r2training\20260716T123403-8edfeec4-flight.jsonl
