source,t_s,frame_id,preceding_range_m,bin_name,detected,det_range_m,reason,red_frac,lap_var,mean_v,touches_edge,n_quads
local_pass_vision/20260716T131137,4.2384221,138,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.028854166666666667,4288.9264862593855,39.53501736111111,True,1
local_pass_vision/20260716T131137,4.2430841,138,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.028854166666666667,4288.9264862593855,39.53501736111111,True,1
local_pass_vision/20260716T131137,4.2511585,138,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.028854166666666667,4288.9264862593855,39.53501736111111,True,1
local_pass_vision/20260716T131137,4.253049,138,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.028854166666666667,4288.9264862593855,39.53501736111111,True,1
local_pass_vision/20260716T131137,4.2597168,139,6.1025243201018515,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2633725,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2654792,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2686625,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2721276,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2752666,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2769328,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2829304,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2847062,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2916863,139,6.176811571427523,5-8m,True,6.176811571427523,ok,0.028715277777777777,4289.188485718602,39.45143229166667,True,1
local_pass_vision/20260716T131137,4.2961617,140,6.176811571427523,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.2985245,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.301855,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3047489,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3089643,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3111079,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3173013,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3199545,140,6.1025243201018515,5-8m,True,6.1025243201018515,ok,0.029092881944444444,4295.540701938035,39.41846354166667,True,1
local_pass_vision/20260716T131137,4.3247038,141,6.1025243201018515,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.327861,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.3337609,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.3359999,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.3395152,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.341991,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.3494393,141,6.099383896422418,5-8m,True,6.099383896422418,ok,0.028971354166666668,4298.666996877694,39.38459635416667,True,1
local_pass_vision/20260716T131137,4.3527951,142,6.099383896422418,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3588794,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3622394,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3662773,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3694776,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3788057,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3822838,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3842085,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3859293,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3900885,142,6.070388042608365,5-8m,True,6.070388042608365,ok,0.029578993055555555,4298.324027875265,39.37599826388889,True,1
local_pass_vision/20260716T131137,4.3983287,143,6.070388042608365,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4043565,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4087935,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4115084,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4143875,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4160028,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4209743,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.424349,143,6.1077018134833185,5-8m,True,6.1077018134833185,ok,0.02982204861111111,4302.114050970459,39.359097222222225,True,1
local_pass_vision/20260716T131137,4.4289787,144,6.1077018134833185,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.4311191,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.4381871,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.443778,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.447636,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.451159,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.4563062,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.4597677,144,6.104504806049735,5-8m,True,6.104504806049735,ok,0.029830729166666667,4293.945498335925,39.356145833333336,True,1
local_pass_vision/20260716T131137,4.4651048,145,6.104504806049735,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.467807,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4718105,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4735959,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4769196,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4815398,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4855371,145,6.138096146601057,5-8m,True,6.138096146601057,ok,0.02978732638888889,4299.278366991886,39.342786458333336,True,1
local_pass_vision/20260716T131137,4.4915763,146,6.138096146601057,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5043627,146,6.107732493084428,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5070285,146,6.107732493084428,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5092858,146,6.107732493084428,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5120687,146,6.107732493084428,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5160255,146,6.107732493084428,5-8m,True,6.107732493084428,ok,0.03015190972222222,4299.0048549259145,39.32525173611111,True,1
local_pass_vision/20260716T131137,4.5215992,147,6.107732493084428,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.5235038,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.526074,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.5341365,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.5361379,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.5396145,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.543081,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.548,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.551869,147,6.106067273981187,5-8m,True,6.106067273981187,ok,0.030286458333333332,4296.592995631672,39.27799045138889,True,1
local_pass_vision/20260716T131137,4.5625382,148,6.106067273981187,5-8m,True,6.138096146601057,ok,0.029930555555555554,4300.415482115173,39.21674479166666,True,1
