fid,t,span_px,R,product,ratio_to_512
20260719T160815-f170ead6,6.4984942,14.035668847618199,10.800985266016198,151.59905242180673,0.2960918992613413
20260719T160921-f170ead6,7.214735,80.0,3.5306556469829027,282.4524517586322,0.5516649448410785
20260719T161028-f170ead6,6.9570421,30.0,3.9870411607694636,119.6112348230839,0.23361569301383575
20260719T161028-f170ead6,7.9877011,52.20153254455275,4.018719952250725,209.7833403748597,0.40973308666964786
20260719T161028-f170ead6,8.0245869,50.92150822589606,4.6635385120971975,237.4744147055405,0.4638172162217588
20260719T161028-f170ead6,8.0558333,49.658836071740545,4.626183357204819,229.73088097324842,0.4486931269008758
20260719T161028-f170ead6,8.6926454,85.0,3.325606549460371,282.67655670413154,0.5521026498127569
20260719T161028-f170ead6,8.8561988,297.0,2.935135940808943,871.7353744202561,1.7026081531645627
20260719T161028-f170ead6,8.8908212,345.0,2.8830903856160597,994.6661830375406,1.9427073887451964
20260719T161136-f170ead6,8.5879042,67.02984409947557,0.5515999398367024,36.97365797253426,0.07221417572760598
20260719T161136-f170ead6,8.6221778,65.0,0.6370131442785535,41.40585437810598,0.08087080933223824
20260719T161136-f170ead6,8.6578806,60.00833275470999,0.6370131442785535,38.22609673099152,0.07466034517771782
20260719T161136-f170ead6,8.6868472,59.0,0.6370131442785535,37.583775512434656,0.07340581154772394
20260719T161259-f170ead6,8.3515389,60.00833275470999,1.9028306946595681,114.18569750100733,0.22301894043165493
20260719T161259-f170ead6,8.3718471,61.00819617067857,1.8678865105363125,113.95638665936362,0.22257106769406956
20260719T161259-f170ead6,8.408485,60.00833275470999,1.746701482034734,104.81664375708542,0.20472000733805745
20260719T161259-f170ead6,8.4448588,61.00819617067857,1.6571663868575597,101.10073201686062,0.1974623672204309
20260719T161259-f170ead6,8.4770323,61.00819617067857,1.5553265331136716,94.88766624166028,0.18532747312824274
20260719T161259-f170ead6,8.5105616,63.198101237299845,1.4869579736350327,93.97292055339703,0.18354086045585358
20260719T161414-f170ead6,8.2005009,58.0,0.5157990189382915,29.916343098420906,0.05843035761410333
20260719T161414-f170ead6,8.2342826,57.0087712549569,0.6199738953372458,35.343949983325636,0.06903115231118288
20260719T161414-f170ead6,8.2648876,59.07622195096772,0.655614517630658,38.73122875782539,0.07564693116762772
20260719T161414-f170ead6,8.3044372,58.077534382926416,0.7734508455963863,44.92011807862764,0.0877346056223196
20260719T161414-f170ead6,8.3356207,59.033888572581766,0.8570761287330172,50.59653668184468,0.0988213607067279
20260719T161414-f170ead6,8.3662986,62.00806399170998,0.9230741781657078,57.23804270879431,0.11179305216561389
20260719T161414-f170ead6,8.4006644,66.03029607687671,1.0041842284077611,66.30658191749446,0.12950504280760636
20260719T161414-f170ead6,8.43442,68.0,1.1005648368019763,74.83840890253438,0.14616876738776247
20260719T161414-f170ead6,8.4697098,73.00684899377592,1.1311223129203647,82.57967589286761,0.16128842947825706
20260719T161414-f170ead6,8.5037018,78.0,1.2383910292887534,96.59450028452277,0.18866113336820853
20260719T161414-f170ead6,8.5314932,89.02246907382428,1.2383910292887534,110.24462710615947,0.21532153731671771
20260719T161414-f170ead6,8.5643419,14.035668847618199,1.2383910292887534,17.381646390957993,0.03394852810733983
20260719T161523-f170ead6,8.4456696,22.80350850198276,0.9204370539600868,20.9891941855188,0.04099451989359141
20260719T161523-f170ead6,8.4814376,21.37755832643195,0.834403190190787,17.83750286606444,0.03483887278528211
20260719T161523-f170ead6,8.5175835,25.495097567963924,0.7307593288669478,18.63078038816267,0.036388242945630214
20260719T161523-f170ead6,8.550357,24.515301344262525,0.6956552051174263,17.054196985158462,0.03330897848663762
20260719T161523-f170ead6,8.5786319,24.73863375370596,0.5778677916120533,14.295659654753464,0.02792121026319036
20260719T161523-f170ead6,8.6131583,22.135943621178654,0.5778677916120533,12.791648855619426,0.024983689171131692
20260719T161523-f170ead6,8.651794,22.561028345356956,0.5778677916120533,13.03729162642836,0.02546346020786789
20260719T161634-f170ead6,8.0383547,139.08630414242805,2.137846190042008,297.34512539791376,0.5807521980428003
20260719T161634-f170ead6,8.1729939,37.8549864614954,1.8682127039048955,70.72116661351353,0.13812727854201862
20260719T161634-f170ead6,8.2039958,37.48332962798263,2.103739810129247,78.85517275458415,0.15401400928629716
20260719T161634-f170ead6,8.2384882,44.181444068749045,2.193284862839527,96.90249249437849,0.189262680653083
20260719T161634-f170ead6,12.8340815,26.0,11.101349289810997,288.63508153508593,0.5637403936232147
20260719T161634-f170ead6,12.8696355,26.076809620810597,11.09489008730242,289.3193365704039,0.5650768292390701
20260719T161634-f170ead6,12.9065474,26.1725046566048,11.048802494655831,289.1748347412865,0.5647945991040751
20260719T161634-f170ead6,12.9410347,26.019223662515376,10.905436486170386,283.750991071023,0.5542011544355918
20260719T161634-f170ead6,12.9997933,26.076809620810597,10.84832266482112,282.889644835665,0.5525188375696582
20260719T161634-f170ead6,13.0726397,27.16615541441225,10.836002934111434,294.37253977909836,0.5749463667560515
20260719T161634-f170ead6,13.1737723,25.179356624028344,10.812829435991487,272.2600884836209,0.5317579853195721
20260719T161634-f170ead6,13.2003481,27.073972741361768,10.248221694738875,277.4600748107926,0.5419142086148293
20260719T161634-f170ead6,13.2376125,27.073972741361768,10.438835231590257,282.6207405116415,0.5519936338117998
20260719T161634-f170ead6,13.772002,28.160255680657446,10.481184651650826,295.15283962666985,0.5764703898958395
20260719T161634-f170ead6,13.8076805,28.160255680657446,10.310440775191903,290.34464840967996,0.5670793914251562
20260719T161634-f170ead6,13.8683336,29.0,10.216164691552846,296.26877605503256,0.5786499532324855
20260719T161634-f170ead6,14.8332331,15.620499351813308,11.249708288979958,175.72606103610025,0.3432149629611333
20260719T161749-f170ead6,7.7837498,15.524174696260024,2.074113400622729,32.1988987711212,0.0628884741623461
20260719T161749-f170ead6,10.9154564,23.40939982143925,34.43082645595652,806.0049826900744,1.5742284818165515
