diagnostic_only,computation_commit,checkpoint_evidence_commit,report_generator_commit,criterion_commit,creation_time_utc,source_checkpoint_dir,input_manifest_path,input_manifest_sha256,cluster_id,cut_id,frame_id,feature_ts_ns,age_s,era,recording_regime,owner_state,command_regime,v_ref_oracle_mps,v_latch_true_mps,recorded_legacy_applied_vertical_mps,r_v_before_no_legacy_mps,r_v_after_recorded_legacy_mps,after_matches_checkpoint,plant_signal
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut03,287,1784282249137394700,0.20727109909057617,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.12669954909407144,0.0,0.12669954909407144,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,282,1784282248964681600,0.0,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.0,0.0,-0.0,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,284,1784282249034085200,0.06940340995788574,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.16341721944859655,0.0,0.16341721944859655,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,285,1784282249062787600,0.09810590744018555,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.15949064650701783,0.0,0.15949064650701783,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,286,1784282249099220800,0.13453912734985352,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.19486321999956613,0.0,0.19486321999956613,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut04,287,1784282249137394700,0.172713041305542,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.014891027119966038,0.0,0.014891027119966038,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut05,284,1784282249034085200,0.0,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.0,0.0,-0.0,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut05,285,1784282249062787600,0.028702497482299805,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.003926572941578721,0.0,-0.003926572941578721,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut05,286,1784282249099220800,0.06513571739196777,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,-0.03144600055096958,0.0,0.03144600055096958,True,rate_feed_forward_mps
True,de19d881ce8fa0ddc27dd71d7306d0d366c43e90,c19602f384bc30b0a53d649238b429f9085b6b8f,55ba6da5a959371098c654826efff5ceec7688e1,bb998ae2a5edf79f7b2431b6b8388d496a76a522,2026-07-20T23:40:56.683708+00:00,tuning/ordered-round-A-G-DIAGNOSTIC-de19d88-20260720T220957Z,tuning/second-mechanism-update-DIAGNOSTIC-55ba6da-20260720T234056Z/checkpoint_input_manifest.json,40253f9d873573596e5346c69258361c41c285249cd40f7d4613ff4b89234a59,20260717T095722-a560c093:A1,20260717T095722-a560c093:A1:cut05,287,1784282249137394700,0.10330963134765625,phase5c,archive,legacy_common_arm,authority_limited,-0.0,-0.0,0.1485261923286305,0.0,-0.1485261923286305,True,rate_feed_forward_mps
